AppID	AvgLengthOfComment
com.bigfishgames.cfhhgoogfull	98
com.kaebe.kingscastle27	95
com.knok.blinktheme	98
com.arecanutstudio.kungfuman	92
com.melkisser.SkyStoneicons	77
jp.colopl.blue	50
com.nbcuni.nbcsports.nbcsportstourdefrancelive2014	156
air.SplillsAndThrillsGames	80
com.thirdwire.star_vector	112
tipitap.dover.huebert	45
com.angieslist.brightnest	112
com.playrisedigital.ttge	134
org.cornerstonecommunity.mobile	142
com.goodgamesbydesign.taphappy	90
com.dhruv.unlockhistory	89
com.carlosavignano.objects.material	66
app_id	11
com.zwylde66.TranZendence	111
com.alawar.sacraterra2.gplay.premium	127
com.battery.plusfree	66
com.maxelus.skylivewallpaper	107
com.alawar.sacraterra2.gplay.freemium	122
com.rubicon.dev.fgcf	136
com.netgeek.wotowatchface	79
com.extiward.monquest	109
com.alawar.houseof1000doors2	116
com.theHaystackApp.haystack	134
com.iceblinkengine.ibb.lanternaone	151
com.insgames.antisquad.premium	132
com.nbcuni.syfy.sharknado.sharkyourself	43
net.rz.wowwallpapers	53
de.ufxmedia.ufxloops	79
org.pbskids.wkwa	107
com.codium.hydrocoach	99
com.autodesk.plm	47
com.beliefengine.redshift	92
com.inkren.skritter.chinese	153
com.inktera.everafter	68
com.starkedev.aurelia.icons.theme	91
eu.nohus.classtime	175
air.LibraryEscape	126
com.xkou.voicereverser	76
com.galbro.catalone2	87
com.edlogiq.neurongym	75
com.rubicon.dev.slots1	62
io.dwak.holohackernews.app	95
com.rubicon.dev.slots2	73
com.intellijoy.pack	115
com.pinsightmedia.onetoolbox	49
air.newescapegames.Farmerhouseescape	99
com.fluxwhite.theme.fluxwhite	123
com.tennytech.suntoll	96
com.carlosavignano.objects.blue	94
com.joko.fracta	72
com.rubicon.dev.zombies	118
com.pinsight.sift	83
howtocookmarihuanarecipes.Maconhareceitas	50
com.deplike.andrig	84
com.iceblinkengine.ibb.raventhal	132
air.com.richColin.DeepUnderTheSky	125
com.alawar.eternaljourneypaid	115
air.com.quicksailor.EscapeGothicVampireCastle	47
ltd.pte.wavea.anoddrumor	120
com.alawar.alexhunter.gplay.premium	97
com.joko.fractapro	107
org.pbskids.dinoatozandroid	85
com.mtvn.pawpatrolgooglehan	113
com.appways.impossible	80
com.tuokio.smashthemall	53
cb56.wakeuppro	109
air.com.gruntygunner.halodialogue	69
com.glutenfreegames.lionsimulator	110
com.g5e.leftinthedark.android.full	70
ca.edmonton.edmonton311	107
com.lifetimefitness.tools.ltconnect	200
com.noodlecake.deviousdungeon	122
com.relayrides.android.relayrides	119
com.wadjeteyegames.BlackwellLegacy.google	112
com.infinite.walls	75
com.uphyca.android.app.bandoclock.wearable	143
net.dystopiazero.theglitcher	93
com.chillingo.spyvsspy.android.ajagplay1	71
com.sproutonline.now	84
com.google.wolff.androidhunt2	36
air.com.lunime.flappyanime	83
com.glhf.rummy	138
com.jb.pro.bunchofwalls	78
com.bigfishgames.ptsmgoogfull	111
com.cbs.sports.draftkit	95
jp.pya.tenten.app.devilworks	122
com.evernote.wear	107
com.noodlecake.wavewave	98
io.binroot.stocks	106
com.arabtigerapps.forchromecast	72
com.fullfat.android.quarterback15	62
com.vrdeveloper.wave	88
com.dori.infinity	96
com.universalstudios.orlandoresort	103
air.com.noodlecake.joinz	102
com.ubisoft.watchdog	238
com.bigfishgames.ptsmgoogfree	113
com.totaltraffic.mobile	84
com.bigfishgames.mcfslgoogfull	173
com.square_enix.android_googleplay.dq4	183
com.socialsavanna	140
org.quet.android.visualizer.wear	85
com.noodlecake.zombiepuzzlepanic	92
org.appeyroad.planetcracker	115
com.g5e.mysteryoftheopera.android.full	83
com.bigfishgames.rlrotgoogfull	131
com.cardeeo.fanadvantage	92
com.anyoption.android.app	113
com.en4lineas.android.talon_material_design	81
org.pbskids.dtgrrificfeelings	130
com.jmd.scpush	135
com.laransoft.volumeG3	110
co.smartwatchface.simplistics.watch.face.wear	101
com.abcsmartcookies.cocomobile	145
com.qmstudio.keepFit	108
com.onetouchgame.MakeMoneyRain	61
org.theme.AndroidL	127
showtime.dreadmaplwp	36
com.tribeplay.pandapet	83
com.atomicadd.fotos	57
com.bap.DCsounds	71
com.bigfishgames.dgpodgoogfull	132
com.g5e.builditmiami.android.full	46
com.samerzayer.wallpapers	85
com.runtastic.android.me.lite	148
com.cristianomatos.theme.bluish	76
air.com.quicksailor.EscapeUndergroundGuestRoom	61
com.thaphlash.threedee	54
at.ipsquare.buzzmark	56
com.teamchaos.spacecolors	112
com.chillingo.bloodstroke.android.ajagplay	80
com.blazewaves.spotthediff.android	67
com.division.runontitans	84
com.bulb.exo2	37
org.gbryant.graveboundfree	160
com.otherworld.Sisters	76
com.whaleshark.deals2buy	26
com.bigfishgames.hotdsfgoogfull	167
com.alawar.lakehousefull	91
com.mtvn.wallykazam.googleplayhandset	91
com.trystatus	162
im.zpn	50
com.spacewalrus.megatoasterfree	61
com.bulkypix.ranchonline	85
co.electrictoy.dig	164
com.readmei.readme	219
com.bandsintown.manager	82
com.gojaz.megabots	44
com.magmamobile.game.Sudoku2	60
com.sakis25games.angelindangerfree	114
com.hyperdevbox.indy500	155
net.dheera.wearmaps	94
com.PelagicGames.Luminux	159
com.rubicon.dev.zombies.free	59
asneakyfox.oneeyedjack	112
com.noodlecake.gravityduck	117
com.yooiistudio.sketchkit	57
com.g5e.spiritwalkers.android.full	65
com.us.lexusenformremote	166
com.neocyon.webuildstory.us	80
com.PsionicGames.EscapeEternity	69
com.dema.BloodSick	79
com.frimastudio.yuki	111
com.mtvn.pawpatrolgoogletab	114
com.zyden.activity	59
com.studietto.berrysearch	100
ru.Softdesign63.MoneyMine	142
com.riatech.crockpotrecipes	81
com.bulkypix.aceferraradinomachine	140
com.rubicon.dev.glwg2	188
com.g5e.twinmoons.android.full	80
com.bigfishgames.heshdgoogfull	144
com.ohrrpgce.rambleplanet	169
com.nook.app	224
com.koulis.theme.l_ready.light	78
com.rubicon.dev.pokerslots	82
com.doga.ozkaraca.Ltheme	138
com.teamtol.livedota	59
com.g5e.tfdm2lair.android.full	61
com.microsoft.office.onenote.wear	68
com.circlestarsoftware.ghost.mapper	69
air.pixelolite	89
com.alawar.straysouls2.full	102
com.bulkypix.tec3001	115
com.nbcnews.parenttoolkit	43
com.vinwap.opengl2project	154
com.amazon.sellermobile.android	108
org.geometerplus.fbreader.plugin.pdf	74
com.team17digital.sfhd	155
com.elevate.fffff2p	127
com.amazon.localregister.android	188
com.ram.memory.booster.cpu.saver	53
com.twoninetydesign.cheatsheet2014	123
com.mg.alertspro	155
com.ta.tfg	118
com.zillow.postlet	64
com.zwylde66.stockglow	183
