ReviewDate,NumberOfReviews
6/30/2014,2
5/3/2015,1
4/28/2015,2
4/6/2015,1
4/22/2015,3
4/17/2015,2
1/6/2015,1
6/28/2014,1
7/10/2014,1
4/14/2015,1
11/1/2014,1
8/10/2014,1
4/19/2015,2
6/27/2014,1
4/21/2015,5
5/5/2015,1
4/2/2015,1
7/27/2014,1
11/2/2014,1
7/19/2014,1
7/23/2014,1
7/26/2014,1
7/20/2014,1
8/31/2014,1
4/18/2015,3
11/14/2014,1
7/18/2014,1
4/29/2015,1
4/24/2015,2
8/18/2014,1
3/16/2015,1
4/20/2015,1
7/25/2014,1
2/19/2015,1
2/16/2015,1
4/26/2015,1
7/4/2014,1
7/7/2014,1
4/15/2015,1
4/23/2015,1
5/7/2015,1
