ReviewDate,NumberOfReviews
4/25/2015,1
11/21/2014,1
9/19/2014,1
7/13/2014,2
8/24/2014,1
11/1/2014,1
4/11/2015,1
8/10/2014,2
9/21/2014,2
10/1/2014,2
1/23/2015,1
4/10/2015,1
12/2/2014,1
3/30/2015,2
11/22/2014,1
10/2/2014,1
11/2/2014,2
1/22/2015,2
9/20/2014,1
11/3/2014,1
2/21/2015,1
9/1/2014,1
7/12/2014,9
7/31/2014,1
11/20/2014,1
7/15/2014,1
3/1/2015,1
8/25/2014,7
12/16/2014,3
3/26/2015,1
3/31/2015,1
8/22/2014,5
12/27/2014,1
2/9/2015,1
10/19/2014,2
8/21/2014,2
11/4/2014,1
7/10/2014,25
3/3/2015,1
10/18/2014,2
12/26/2014,1
10/22/2014,1
12/30/2014,1
1/18/2015,1
9/2/2014,1
10/12/2014,2
7/9/2014,4
8/12/2014,4
9/23/2014,1
11/11/2014,2
8/27/2014,2
12/5/2014,2
12/14/2014,1
12/17/2014,1
8/31/2014,2
1/2/2015,2
8/1/2014,2
1/21/2015,1
8/15/2014,2
9/11/2014,1
10/25/2014,2
10/9/2014,1
12/23/2014,1
4/4/2015,1
7/25/2014,1
2/20/2015,1
9/30/2014,1
10/28/2014,1
4/1/2015,1
9/14/2014,1
9/17/2014,3
8/16/2014,3
9/13/2014,2
5/6/2015,1
10/16/2014,2
12/24/2014,2
12/7/2014,2
1/6/2015,1
9/6/2014,1
1/29/2015,1
8/5/2014,1
9/5/2014,1
11/30/2014,1
4/5/2015,1
10/8/2014,3
9/12/2014,2
10/29/2014,1
7/19/2014,1
11/6/2014,2
12/11/2014,1
9/4/2014,1
7/18/2014,2
9/26/2014,3
2/13/2015,2
2/8/2015,2
9/29/2014,2
11/9/2014,2
11/12/2014,3
8/28/2014,1
10/7/2014,2
2/27/2015,1
10/21/2014,2
12/19/2014,1
10/13/2014,1
8/30/2014,3
9/7/2014,2
5/7/2015,2
8/13/2014,1
8/19/2014,3
1/20/2015,2
9/16/2014,1
10/30/2014,1
9/9/2014,3
8/9/2014,1
2/22/2015,2
4/2/2015,1
10/26/2014,5
11/5/2014,1
10/5/2014,3
8/23/2014,3
12/28/2014,1
8/20/2014,2
10/14/2014,4
3/8/2015,1
4/29/2015,1
3/24/2015,1
3/27/2015,1
8/29/2014,3
2/18/2015,1
8/26/2014,5
12/9/2014,1
9/22/2014,1
7/14/2014,3
2/15/2015,1
12/12/2014,1
7/17/2014,4
2/1/2015,1
1/19/2015,2
4/26/2015,1
11/19/2014,1
9/28/2014,3
9/25/2014,2
7/11/2014,14
11/16/2014,2
