ReviewDate,NumberOfReviews
8/16/2014,3
4/25/2015,1
9/13/2014,4
3/6/2015,1
9/19/2014,4
9/27/2014,1
8/24/2014,1
4/17/2015,1
12/1/2014,1
8/6/2014,1
9/6/2014,1
4/11/2015,1
8/10/2014,3
12/15/2014,1
8/5/2014,2
10/11/2014,2
10/2/2014,1
10/8/2014,2
2/21/2015,1
9/4/2014,1
11/17/2014,1
9/1/2014,2
4/8/2015,1
7/31/2014,2
9/29/2014,1
8/25/2014,1
1/4/2015,2
8/11/2014,2
8/28/2014,1
8/17/2014,5
2/27/2015,1
5/4/2015,2
10/21/2014,1
8/22/2014,8
9/7/2014,1
8/13/2014,1
3/9/2015,1
1/17/2015,1
4/14/2015,1
10/4/2014,1
9/16/2014,1
8/3/2014,1
9/3/2014,3
1/3/2015,2
4/19/2015,1
11/15/2014,1
8/2/2014,2
10/12/2014,2
9/9/2014,1
8/9/2014,4
8/12/2014,3
10/26/2014,1
1/11/2015,2
10/6/2014,1
8/4/2014,1
8/31/2014,1
4/18/2015,2
8/23/2014,2
8/20/2014,1
8/1/2014,7
1/21/2015,1
8/15/2014,1
8/29/2014,1
8/18/2014,3
1/8/2015,1
3/13/2015,1
2/18/2015,1
8/26/2014,2
12/9/2014,1
2/7/2015,1
9/22/2014,1
2/1/2015,1
9/14/2014,2
9/17/2014,1
4/26/2015,1
11/19/2014,2
9/25/2014,1
1/27/2015,1
8/7/2014,4
4/15/2015,1
