ReviewDate,NumberOfReviews
9/13/2014,3
2/11/2015,1
7/13/2014,2
6/25/2014,2
11/1/2014,1
7/28/2014,1
9/21/2014,1
10/1/2014,1
1/23/2015,1
10/15/2014,2
1/29/2015,1
7/5/2014,3
9/5/2014,2
11/26/2014,1
11/30/2014,1
10/2/2014,1
7/27/2014,1
11/2/2014,1
10/29/2014,3
7/19/2014,1
7/23/2014,1
11/3/2014,1
7/20/2014,1
9/4/2014,2
7/29/2014,1
9/1/2014,1
7/1/2014,2
7/18/2014,3
3/18/2015,1
7/12/2014,1
4/8/2015,1
11/12/2014,1
8/28/2014,3
7/4/2014,5
2/27/2015,1
7/7/2014,1
8/30/2014,1
6/30/2014,4
9/10/2014,1
10/27/2014,1
8/19/2014,1
2/9/2015,1
10/19/2014,1
6/28/2014,5
7/10/2014,1
10/30/2014,2
7/3/2014,1
9/3/2014,2
7/8/2014,2
7/2/2014,5
9/2/2014,4
6/27/2014,5
8/12/2014,1
7/24/2014,1
8/27/2014,1
10/5/2014,2
6/29/2014,12
10/6/2014,1
1/24/2015,1
6/26/2014,7
8/31/2014,4
12/25/2014,2
9/11/2014,2
8/29/2014,1
10/25/2014,1
10/17/2014,1
7/14/2014,1
7/17/2014,1
9/14/2014,1
4/26/2015,1
9/28/2014,1
1/27/2015,1
