ReviewDate,NumberOfReviews
9/13/2014,2
10/24/2014,1
10/10/2014,1
3/6/2015,1
5/6/2015,1
6/6/2014,2
7/30/2014,1
3/14/2015,1
4/16/2015,1
12/2/2014,1
6/5/2014,2
8/5/2014,2
10/23/2014,1
6/16/2014,1
10/8/2014,2
1/22/2015,1
10/29/2014,1
11/6/2014,1
2/2/2015,1
11/14/2014,1
5/20/2014,1
11/25/2014,1
7/31/2014,2
11/20/2014,1
11/12/2014,3
7/7/2014,1
8/14/2014,1
10/21/2014,1
12/19/2014,1
8/30/2014,1
9/7/2014,1
3/7/2015,1
4/9/2015,1
8/19/2014,1
6/9/2014,1
10/30/2014,2
7/3/2014,1
9/3/2014,1
3/3/2015,1
6/8/2014,1
10/18/2014,1
5/24/2014,1
3/10/2015,1
2/22/2015,1
7/24/2014,2
11/11/2014,1
8/27/2014,2
6/29/2014,1
1/24/2015,1
6/18/2014,1
8/20/2014,1
10/3/2014,1
8/1/2014,1
3/5/2015,1
12/31/2014,1
3/27/2015,1
10/17/2014,1
3/16/2015,2
3/19/2015,1
7/25/2014,1
10/28/2014,1
6/1/2014,1
6/4/2014,7
6/7/2014,1
4/23/2015,1
