ReviewDate,NumberOfReviews
11/27/2014,1
12/24/2014,4
11/7/2014,3
12/10/2014,1
12/1/2014,5
12/15/2014,1
12/8/2014,1
12/2/2014,1
10/15/2014,2
11/18/2014,2
11/26/2014,2
10/23/2014,1
11/2/2014,2
11/3/2014,3
11/6/2014,1
12/11/2014,2
11/17/2014,1
2/24/2015,2
5/12/2015,1
11/28/2014,1
2/13/2015,1
4/27/2015,1
11/20/2014,2
11/9/2014,1
11/12/2014,2
1/12/2015,2
12/16/2014,1
1/1/2015,2
3/15/2015,1
10/21/2014,1
1/7/2015,3
3/11/2015,1
4/9/2015,1
10/27/2014,1
2/14/2015,1
11/10/2014,4
2/9/2015,1
12/21/2014,2
3/9/2015,1
12/4/2014,1
4/30/2015,1
5/11/2015,1
4/14/2015,1
10/30/2014,2
1/3/2015,1
2/3/2015,1
5/10/2015,1
10/22/2014,1
1/18/2015,1
5/8/2015,1
2/22/2015,1
10/26/2014,1
12/22/2014,1
11/11/2014,6
3/2/2015,1
11/5/2014,2
3/25/2015,1
1/11/2015,1
10/31/2014,2
4/18/2015,1
12/6/2014,2
12/3/2014,2
1/13/2015,1
1/21/2015,1
3/5/2015,1
10/14/2014,1
3/8/2015,1
10/25/2014,1
2/18/2015,1
12/9/2014,1
2/7/2015,1
2/4/2015,1
4/4/2015,1
2/15/2015,1
10/28/2014,1
12/12/2014,1
2/12/2015,1
4/1/2015,1
2/1/2015,1
1/19/2015,3
4/26/2015,1
11/19/2014,2
1/27/2015,1
11/16/2014,3
