ReviewDate,NumberOfReviews
10/27/2014,1
2/14/2015,1
3/28/2015,1
8/19/2014,2
1/9/2015,1
3/14/2015,1
1/17/2015,1
8/21/2014,1
12/4/2014,2
2/6/2015,1
11/1/2014,1
4/11/2015,1
9/21/2014,1
9/24/2014,1
1/23/2015,1
3/3/2015,1
4/19/2015,2
12/8/2014,1
9/2/2014,2
9/15/2014,2
1/29/2015,1
9/5/2014,1
10/11/2014,2
11/26/2014,1
5/2/2015,2
10/8/2014,1
12/14/2014,2
11/14/2014,1
8/20/2014,1
9/1/2014,2
3/27/2015,1
8/29/2014,1
1/8/2015,3
9/29/2014,2
2/18/2015,1
1/15/2015,2
4/20/2015,1
5/1/2015,1
1/1/2015,1
2/1/2015,1
9/14/2014,1
1/19/2015,1
3/15/2015,1
9/17/2014,1
11/19/2014,1
9/25/2014,2
1/7/2015,2
8/30/2014,2
