ReviewDate,NumberOfReviews
 04-19-2015,3
 03-08-2016,1
 10-20-2014,1
 07-10-2015,2
 09-15-2015,3
 11-14-2015,1
 09-01-2014,3
 12-25-2014,1
 07-24-2015,2
 10-03-2014,7
 11-28-2014,1
 04-22-2015,3
 03-11-2016,2
 11-28-2015,1
 10-17-2015,7
 01-20-2015,2
 04-20-2015,3
 02-12-2015,2
 01-15-2015,16
 11-02-2015,1
 07-09-2015,1
 10-05-2014,13
 09-30-2015,1
 01-29-2015,1
 09-17-2014,1
 12-11-2014,1
 09-03-2014,1
 03-27-2015,1
 08-18-2015,2
 02-28-2016,1
 09-03-2015,1
 03-13-2015,1
 03-30-2015,1
 05-21-2015,1
 01-19-2015,1
 12-01-2014,3
 04-07-2015,1
 12-01-2015,1
 08-16-2014,1
 09-27-2014,2
 09-27-2015,3
 11-21-2015,1
 11-21-2014,1
 09-05-2015,1
 01-15-2016,1
 12-13-2015,1
 08-25-2014,1
 08-28-2015,13
 11-24-2014,1
 03-01-2016,1
 05-12-2015,2
 12-29-2015,1
 10-15-2014,1
 10-15-2015,1
 01-25-2016,1
 01-25-2015,1
 11-23-2014,2
 05-24-2015,1
 09-07-2014,1
 01-08-2016,1
 06-05-2015,1
 04-28-2015,1
 09-08-2015,1
 09-08-2014,1
 01-07-2016,2
 02-18-2016,1
 07-17-2015,1
 02-04-2015,1
 09-11-2015,1
 02-04-2016,2
 09-06-2015,1
 09-06-2014,1
 10-11-2015,1
 10-11-2014,1
 08-29-2015,2
 03-16-2015,1
 11-18-2015,1
 05-13-2015,1
 07-21-2015,1
 03-05-2016,1
 07-27-2015,3
 12-06-2014,4
 01-30-2016,1
 01-30-2015,1
 11-03-2014,1
 11-03-2015,2
 11-12-2015,2
 08-24-2014,1
 02-03-2016,1
 04-17-2015,5
 12-05-2015,3
 11-13-2015,2
 08-14-2015,1
 03-15-2016,1
 02-29-2016,1
 03-15-2015,3
 03-06-2015,1
 09-20-2015,1
 01-17-2016,2
 01-17-2015,8
 04-21-2015,4
 07-31-2014,1
 10-07-2014,4
 01-16-2015,7
 11-01-2015,1
 08-19-2015,2
 07-08-2015,1
 08-05-2015,2
 03-07-2015,1
 04-06-2015,1
 09-28-2015,1
 01-18-2015,5
 02-15-2016,1
 04-23-2015,4
 10-02-2014,2
 09-14-2015,1
 10-16-2015,17
 02-01-2016,2
 07-11-2015,1
 01-21-2015,1
 01-21-2016,1
 08-20-2015,1
 12-14-2015,1
 11-15-2015,1
 03-10-2016,1
 11-29-2014,13
 11-15-2014,2
 02-08-2015,1
 11-20-2014,1
 02-11-2015,2
 10-06-2014,5
 09-12-2014,1
 01-31-2015,1
 03-14-2015,1
 09-21-2014,1
 10-28-2015,1
 09-21-2015,1
 12-10-2014,1
 08-09-2014,1
 11-27-2015,1
 08-22-2014,1
 11-30-2015,1
 11-30-2014,10
 01-06-2015,2
 02-27-2016,1
 11-11-2015,1
 07-29-2015,1
 07-01-2015,1
 07-04-2015,1
 10-18-2015,2
 09-18-2015,1
 04-16-2015,4
 10-12-2015,2
 12-03-2014,2
 06-19-2015,1
 12-17-2015,1
 07-16-2015,1
 11-06-2015,2
 12-17-2014,1
 12-20-2014,1
 09-24-2014,1
 03-29-2015,1
 09-22-2015,1
 10-13-2014,1
 04-15-2015,6
 09-09-2015,2
 02-06-2015,1
 01-24-2015,1
 11-07-2015,1
 06-23-2015,1
 03-21-2016,1
 08-31-2014,14
 12-31-2015,1
 09-04-2014,1
 10-29-2014,1
 10-29-2015,1
 02-16-2015,2
 02-25-2016,2
 03-22-2015,1
 11-25-2015,1
 01-23-2015,2
 03-31-2015,1
 05-30-2015,1
 03-18-2015,2
 02-07-2016,1
 01-04-2015,1
 03-12-2016,1
 01-04-2016,1
 03-12-2015,2
 05-20-2015,1
 12-02-2014,8
 11-16-2015,1
 11-16-2014,1
 05-26-2015,1
 08-30-2014,14
 08-30-2015,1
 05-01-2015,1
 09-23-2015,1
 10-04-2014,5
 02-10-2015,1
 10-23-2015,2
