ReviewDate,NumberOfReviews
 05-16-2015,6
 10-03-2015,2
 06-05-2015,2
 07-24-2015,1
 04-18-2015,1
 05-29-2014,1
 05-17-2015,1
 06-22-2014,1
 10-05-2015,2
 10-30-2015,1
 04-23-2015,9
 01-15-2015,1
 09-14-2015,1
 07-14-2014,1
 10-13-2015,1
 10-16-2015,1
 01-29-2015,1
 07-03-2014,1
 10-11-2015,1
 02-06-2015,1
 06-18-2014,2
 06-12-2015,1
 08-20-2015,1
 05-08-2015,2
 06-20-2015,1
 06-04-2015,1
 06-01-2015,2
 05-19-2015,1
 08-24-2015,1
 04-10-2015,1
 06-02-2015,1
 09-12-2015,1
 10-06-2015,1
 11-17-2015,1
 05-28-2015,2
 11-25-2015,1
 05-28-2014,1
 10-14-2015,1
 04-25-2015,1
 09-19-2015,1
 02-07-2015,1
 05-30-2015,2
 06-17-2015,1
 05-31-2015,4
 05-20-2015,2
 06-03-2015,4
 03-15-2015,1
 06-11-2015,1
 05-26-2015,3
 09-20-2015,1
 07-26-2014,1
 04-24-2015,4
 10-07-2015,1
