ReviewDate,NumberOfReviews
 03-02-2015,2
 03-08-2015,38
 04-05-2015,4
 04-30-2015,2
 02-19-2015,2
 11-14-2014,52
 11-06-2014,4
 03-25-2015,2
 06-21-2015,2
 04-28-2015,2
 07-08-2015,4
 03-11-2015,38
 03-07-2015,14
 01-20-2015,2
 01-18-2015,4
 07-17-2015,2
 01-15-2015,2
 04-23-2015,2
 07-06-2015,10
 04-15-2015,4
 04-12-2015,2
 06-26-2015,2
 04-09-2015,4
 04-04-2015,4
 11-07-2014,2
 01-10-2015,2
 06-18-2015,2
 03-10-2015,22
 03-16-2015,8
 11-15-2014,8
 06-20-2015,2
 06-04-2015,2
 03-21-2015,26
 03-13-2015,8
 11-18-2014,4
 11-26-2015,4
 12-31-2014,2
 03-30-2015,2
 03-19-2015,24
 12-06-2014,4
 04-10-2015,2
 01-30-2015,2
 11-20-2014,2
 01-14-2015,2
 11-12-2014,2
 06-02-2015,2
 12-14-2014,2
 02-16-2015,2
 05-05-2015,2
 03-22-2015,28
 11-09-2014,2
 03-14-2015,8
 11-25-2014,2
 07-05-2015,4
 12-05-2014,6
 03-18-2015,12
 01-04-2015,2
 06-17-2015,2
 05-31-2015,2
 11-13-2014,12
 05-09-2015,4
 03-12-2015,6
 11-19-2014,4
 12-02-2014,4
 03-23-2015,2
 11-16-2014,4
 03-15-2015,10
 08-09-2015,2
 03-06-2015,2
 12-04-2014,2
 03-09-2015,70
 03-17-2015,4
 11-11-2014,2
 05-01-2015,2
 03-28-2015,2
 07-18-2015,2
 05-12-2015,2
 05-04-2015,2
 07-07-2015,2
 07-23-2015,2
 07-15-2015,2
