ReviewDate,NumberOfReviews
 04-19-2015,17
 03-08-2016,4
 03-08-2015,24
 02-14-2015,25
 01-03-2016,7
 01-03-2015,20
 09-01-2015,7
 03-25-2015,4
 07-24-2015,3
 03-25-2016,3
 05-02-2015,8
 06-13-2015,7
 02-14-2016,5
 10-17-2015,7
 11-28-2015,5
 06-30-2015,5
 01-20-2016,7
 01-20-2015,14
 04-20-2015,20
 10-05-2015,7
 01-15-2015,20
 12-27-2015,4
 12-27-2014,13
 10-22-2015,4
 09-30-2015,6
 06-29-2015,6
 09-17-2015,13
 08-23-2015,10
 02-09-2016,8
 02-09-2015,19
 12-11-2015,5
 12-11-2014,15
 08-18-2015,12
 03-13-2016,3
 06-01-2015,6
 03-13-2015,21
 03-30-2015,31
 12-23-2015,4
 12-23-2014,15
 07-19-2015,5
 01-19-2015,24
 06-08-2015,4
 01-19-2016,6
 04-07-2015,21
 04-03-2015,19
 11-21-2015,3
 05-06-2015,4
 09-05-2015,10
 01-15-2016,8
 06-17-2015,6
 05-31-2015,6
 05-09-2015,12
 03-01-2015,39
 03-01-2016,6
 03-04-2016,2
 03-04-2015,16
 05-18-2015,10
 08-06-2015,4
 07-07-2015,7
 07-20-2015,6
 02-02-2016,6
 02-02-2015,20
 10-26-2015,10
 02-05-2015,28
 01-11-2015,19
 02-22-2016,6
 02-22-2015,23
 01-11-2016,5
 06-05-2015,7
 04-28-2015,16
 09-10-2015,10
 10-25-2015,4
 09-08-2015,4
 02-23-2016,6
 01-12-2015,29
 01-07-2015,14
 02-23-2015,21
 02-18-2015,22
 01-07-2016,3
 01-12-2016,4
 02-18-2016,4
 10-30-2015,7
 10-08-2015,8
 04-12-2015,12
 07-03-2015,3
 09-25-2015,4
 11-04-2015,10
 08-15-2015,5
 03-16-2016,5
 03-16-2015,22
 03-05-2015,22
 07-21-2015,1
 03-05-2016,5
 06-10-2015,6
 07-27-2015,3
 12-06-2015,29
 12-06-2014,4
 10-01-2015,8
 11-03-2015,2
 11-12-2015,6
 06-16-2015,9
 04-11-2015,13
 01-27-2016,4
 01-27-2015,16
 10-10-2015,2
 06-25-2015,3
 12-24-2014,13
 12-24-2015,8
 11-13-2015,3
 05-14-2015,8
 07-28-2015,5
 08-14-2015,4
