ReviewDate,NumberOfReviews
 09-07-2015,4
 09-04-2015,4
 10-20-2015,2
 08-24-2015,4
 09-15-2015,28
 09-12-2015,2
 10-01-2015,2
 08-27-2015,6
 11-01-2015,2
 08-19-2015,6
 09-01-2015,2
 09-16-2015,2
 09-27-2015,2
 10-21-2015,2
 10-17-2015,6
 09-08-2015,2
 09-24-2015,4
 09-05-2015,10
 09-13-2015,22
 09-21-2015,2
 09-28-2015,4
 10-05-2015,2
 08-17-2015,16
 10-02-2015,6
 11-02-2015,4
 10-08-2015,4
 09-22-2015,2
 09-14-2015,32
 08-25-2015,4
 09-06-2015,8
 09-30-2015,4
 09-09-2015,6
 08-22-2015,2
 09-17-2015,2
 08-23-2015,6
 08-26-2015,4
 11-07-2015,2
 09-20-2015,2
 08-29-2015,2
 11-04-2015,2
 08-20-2015,4
 09-23-2015,6
 08-18-2015,18
 09-03-2015,6
 09-29-2015,2
 10-07-2015,2
 10-15-2015,4
