ReviewDate,NumberOfReviews
 04-19-2015,2
 03-08-2015,10
 11-01-2015,2
 12-25-2014,2
 05-02-2015,50
 09-16-2015,8
 03-07-2016,1
 03-07-2015,8
 07-25-2015,2
 01-20-2016,2
 02-12-2015,2
 10-02-2015,4
 06-29-2015,2
 04-04-2015,2
 08-18-2015,2
 03-10-2015,2
 11-15-2014,2
 03-30-2015,2
 12-23-2015,2
 09-12-2015,2
 12-14-2014,2
 02-11-2015,6
 05-21-2015,2
 11-17-2014,2
 02-11-2016,1
 01-31-2016,2
 05-22-2015,2
 03-14-2015,4
 04-03-2015,2
 04-29-2015,2
 12-13-2014,2
 11-08-2015,2
 03-23-2015,2
 11-24-2014,2
 03-04-2016,1
 03-04-2015,2
 05-15-2015,2
 11-30-2014,2
 11-11-2014,4
 12-26-2014,2
 12-26-2015,4
 10-31-2014,2
 07-04-2015,2
 10-18-2015,2
 12-29-2014,2
 09-07-2015,2
 01-25-2015,2
 12-03-2014,4
 04-30-2015,2
 02-19-2015,4
 06-21-2015,2
 05-25-2015,2
 10-25-2015,2
 12-21-2015,1
 11-05-2014,2
 02-18-2015,14
 11-05-2015,2
 12-21-2014,2
 12-19-2014,2
 07-14-2015,2
 12-19-2015,2
 04-26-2015,2
 04-09-2015,4
 11-07-2014,2
 08-29-2015,2
 05-08-2015,2
 03-16-2015,2
 05-19-2015,2
 03-05-2015,3
 12-06-2015,2
 03-19-2015,2
 11-12-2014,4
 11-03-2014,2
 06-16-2015,2
 12-28-2014,2
 11-09-2014,4
 11-25-2015,2
 10-14-2015,2
 11-25-2014,4
 04-17-2015,2
 07-22-2015,2
 02-07-2015,4
 02-20-2016,1
 02-20-2015,2
 01-23-2016,2
 03-18-2015,2
 12-05-2015,2
 02-07-2016,1
 02-26-2015,2
 05-14-2015,2
 11-19-2015,2
 01-01-2016,2
 11-16-2015,2
 03-15-2015,2
 11-16-2014,2
 05-26-2015,2
 03-06-2015,18
 08-30-2015,2
 03-09-2016,1
 11-22-2014,8
 03-28-2015,2
 05-04-2015,50
 09-23-2015,4
 01-17-2016,2
 02-13-2016,1
 02-10-2015,4
 07-15-2015,2
 09-29-2015,2
 10-23-2015,2
