ReviewDate,NumberOfReviews
 11-23-2015,1
 12-06-2014,1
 11-20-2014,8
 11-12-2014,4
 10-06-2015,1
 11-17-2014,8
 11-14-2014,5
 11-09-2014,16
 11-06-2014,7
 04-03-2015,1
 09-24-2015,1
 11-05-2014,13
 11-10-2014,8
 11-10-2015,1
 01-20-2016,1
 09-13-2015,1
 11-13-2014,6
 11-19-2014,5
 11-08-2014,6
 01-26-2015,1
 11-16-2014,3
 02-01-2015,1
 09-30-2015,1
 09-25-2015,2
 01-24-2015,1
 11-07-2014,9
 11-11-2014,6
 12-18-2014,1
 12-15-2014,1
 11-04-2014,8
 11-15-2014,9
 07-23-2015,1
 11-18-2014,2
 01-28-2015,1
