ReviewDate,NumberOfReviews
 10-26-2015,4
 10-20-2015,6
 10-29-2015,4
 09-15-2015,2
 09-12-2015,4
 10-03-2015,4
 07-30-2015,2
 10-14-2015,4
 09-16-2015,2
 09-10-2015,2
 10-25-2015,4
 08-08-2015,1
 09-19-2015,6
 10-21-2015,4
 10-09-2015,2
 07-25-2015,2
 02-23-2016,1
 10-28-2015,4
 09-13-2015,2
 09-28-2015,2
 10-05-2015,4
 10-30-2015,8
 09-14-2015,2
 02-04-2016,1
 12-30-2015,2
 10-22-2015,4
 10-16-2015,2
 10-19-2015,4
 09-25-2015,2
 01-13-2016,2
 09-23-2015,22
 10-31-2015,8
 10-04-2015,2
 07-31-2015,4
 02-05-2016,1
 08-07-2015,4
 10-23-2015,4
 10-15-2015,4
