ReviewDate,NumberOfReviews
 06-27-2015,4
 03-08-2016,1
 08-21-2015,1
 07-10-2015,1
 08-04-2015,2
 09-15-2015,1
 10-03-2015,1
 09-01-2015,1
 08-19-2015,1
 01-16-2016,2
 12-12-2015,1
 06-13-2015,3
 07-08-2015,1
 08-05-2015,1
 03-11-2016,1
 03-07-2016,1
 12-08-2015,1
 06-28-2015,4
 06-14-2015,5
 06-09-2015,4
 10-05-2015,2
 02-15-2016,1
 11-02-2015,1
 12-27-2015,2
 07-09-2015,1
 02-12-2016,1
 12-30-2015,2
 06-26-2015,7
 09-30-2015,1
 10-19-2015,1
 02-01-2016,1
 08-23-2015,1
 06-12-2015,4
 02-09-2016,1
 08-20-2015,1
 12-14-2015,1
 06-15-2015,1
 08-18-2015,3
 11-26-2015,2
 11-20-2015,2
 01-22-2016,2
 06-24-2015,5
 12-23-2015,1
 06-02-2015,14
 09-12-2015,1
 10-06-2015,1
 06-08-2015,6
 02-11-2016,1
 01-19-2016,2
 11-21-2015,2
 10-28-2015,1
 08-10-2015,2
 08-25-2015,1
 03-23-2016,1
 06-11-2015,4
 08-09-2015,2
 03-01-2016,3
 03-04-2016,1
 11-27-2015,2
 08-03-2015,2
 03-20-2016,2
 12-04-2015,1
 02-24-2016,1
 01-06-2016,1
 12-29-2015,2
 07-04-2015,1
 07-07-2015,1
 01-28-2016,1
 02-02-2016,1
 09-07-2015,1
 11-23-2015,1
 12-17-2015,1
 12-20-2015,2
 03-17-2016,1
 09-10-2015,1
 10-25-2015,1
 10-09-2015,1
 11-24-2015,2
 12-21-2015,1
 02-23-2016,1
 08-13-2015,1
 11-10-2015,1
 11-05-2015,1
 02-18-2016,1
 07-17-2015,1
 09-22-2015,1
 12-19-2015,1
 09-06-2015,2
 09-09-2015,1
 01-24-2016,1
 09-25-2015,1
 12-22-2015,1
 08-26-2015,1
 06-18-2015,1
 08-12-2015,1
 08-29-2015,2
 06-07-2015,8
 06-23-2015,2
 03-16-2016,1
 08-15-2015,1
 06-04-2015,7
 11-18-2015,1
 03-05-2016,2
 12-31-2015,2
 06-10-2015,9
 12-06-2015,1
 08-24-2015,1
 01-30-2016,2
 03-19-2016,1
 10-01-2015,1
 06-16-2015,5
 12-28-2015,1
 11-09-2015,1
 01-27-2016,1
 11-25-2015,1
 02-03-2016,1
 03-06-2016,1
 02-20-2016,2
 02-07-2016,1
 03-18-2016,2
 12-05-2015,1
 06-25-2015,4
 06-06-2015,5
 01-01-2016,2
 08-14-2015,1
 08-17-2015,1
 01-04-2016,1
 08-11-2015,1
 03-15-2016,2
 02-29-2016,2
 06-03-2015,16
 11-22-2015,1
 08-30-2015,1
 09-20-2015,1
 07-18-2015,1
 12-18-2015,1
 02-16-2016,2
 10-04-2015,1
 02-13-2016,1
 10-23-2015,1
 10-07-2015,1
