ReviewDate,NumberOfReviews
 08-21-2014,1
 01-16-2015,1
 02-14-2015,4
 01-03-2015,7
 12-25-2014,3
 07-24-2015,1
 02-15-2015,2
 04-23-2015,1
 10-02-2015,1
 09-14-2015,2
 12-27-2014,2
 12-30-2014,9
 10-22-2014,3
 06-26-2015,1
 09-14-2014,1
 08-23-2014,2
 02-09-2015,2
 06-15-2015,1
 08-18-2015,1
 01-02-2015,1
 11-15-2014,10
 11-29-2015,1
 04-10-2015,1
 12-23-2014,5
 02-08-2015,1
 11-20-2014,1
 11-17-2014,9
 11-17-2015,1
 05-22-2015,1
 12-01-2015,1
 12-10-2014,1
 12-13-2014,1
 11-27-2014,1
 08-03-2015,1
 08-22-2014,1
 01-09-2015,2
 02-21-2015,6
 01-06-2015,1
 02-24-2015,1
 12-26-2014,2
 10-12-2014,1
 12-29-2014,4
 02-02-2015,1
 02-05-2015,12
 07-16-2015,1
 02-19-2015,4
 11-06-2015,1
 02-22-2015,5
 12-20-2014,3
 06-22-2015,1
 11-24-2015,1
 08-13-2015,1
 01-07-2015,2
 12-21-2014,4
 02-18-2015,4
 12-16-2014,1
 12-19-2014,7
 10-30-2014,1
 10-13-2015,2
 02-06-2015,2
 10-11-2015,1
 09-25-2015,1
 01-10-2016,1
 12-22-2014,7
 08-29-2014,1
 02-17-2015,8
 08-12-2014,9
 05-08-2015,1
 11-18-2015,1
 11-18-2014,3
 12-31-2014,2
 03-05-2016,1
 09-04-2014,1
 07-27-2015,1
 10-01-2015,1
 02-25-2015,3
 02-16-2015,6
 01-05-2015,4
 12-28-2014,6
 01-27-2016,1
 11-25-2015,1
 01-27-2015,1
 03-06-2016,1
 02-07-2015,7
 02-20-2015,3
 12-24-2014,9
 02-26-2015,1
 12-24-2015,1
 01-04-2015,2
 11-13-2015,1
 01-01-2015,3
 11-19-2014,9
 02-29-2016,1
 11-16-2014,2
 08-30-2014,1
 07-12-2015,1
 12-18-2014,17
 09-26-2015,1
 10-07-2014,2
