ReviewDate,NumberOfReviews
 04-05-2015,28
 08-04-2015,10
 07-16-2015,4
 07-24-2015,6
 08-05-2015,6
 07-25-2015,10
 04-06-2015,20
 06-14-2015,6
 07-17-2015,8
 09-22-2015,2
 07-14-2015,18
 09-11-2015,2
 02-12-2016,2
 02-04-2016,1
 04-12-2015,2
 04-09-2015,2
 10-16-2015,2
 09-30-2015,2
 02-01-2016,4
 04-04-2015,26
 09-17-2015,2
 02-09-2016,1
 04-01-2015,24
 02-17-2016,1
 06-01-2015,2
 07-21-2015,14
 04-02-2015,26
 07-27-2015,2
 07-13-2015,18
 07-19-2015,2
 08-01-2015,2
 02-11-2016,1
 01-31-2016,3
 07-30-2015,4
 04-07-2015,26
 02-03-2016,6
 08-08-2015,2
 07-22-2015,2
 03-31-2015,4
 04-03-2015,18
 04-29-2015,4
 07-28-2015,4
 08-10-2015,6
 08-02-2015,4
 08-11-2015,2
 06-11-2015,2
 08-09-2015,2
 08-03-2015,6
 08-22-2015,2
 08-06-2015,14
 07-29-2015,4
 07-18-2015,8
 02-16-2016,1
 04-27-2015,3
 10-18-2015,2
 02-13-2016,1
 07-23-2015,6
 07-20-2015,8
 07-15-2015,6
 02-02-2016,6
 02-10-2016,1
