ReviewDate,NumberOfReviews
 05-13-2015,4
 05-16-2015,1
 04-30-2015,2
 10-01-2015,1
 05-05-2015,6
 08-19-2015,1
 05-10-2015,5
 04-28-2015,6
 05-02-2015,2
 05-28-2015,1
 11-25-2015,1
 09-10-2015,1
 09-19-2015,1
 04-29-2015,6
 06-14-2015,1
 05-03-2015,1
 05-06-2015,8
 05-11-2015,4
 05-14-2015,2
 05-09-2015,6
 08-25-2015,3
 11-16-2015,1
 04-26-2015,5
 06-11-2015,1
 08-23-2015,2
 08-26-2015,2
 05-07-2015,2
 05-01-2015,1
 05-12-2015,3
 07-26-2015,1
 09-23-2015,1
 05-04-2015,1
 05-08-2015,5
 08-15-2015,1
 04-27-2015,3
 07-23-2015,1
 05-19-2015,1
