ReviewDate,NumberOfReviews
 03-08-2016,6
 12-09-2015,6
 10-20-2015,5
 03-02-2016,3
 09-15-2015,2
 12-17-2015,11
 08-27-2015,2
 12-20-2015,11
 12-12-2015,4
 03-25-2016,4
 03-17-2016,4
 09-16-2015,2
 03-11-2016,4
 03-03-2016,13
 03-07-2016,22
 09-08-2015,16
 08-13-2015,22
 12-21-2015,2
 02-23-2016,1
 01-07-2016,2
 12-16-2015,12
 12-19-2015,32
 09-11-2015,2
 10-13-2015,2
 02-04-2016,3
 02-12-2016,1
 09-06-2015,2
 10-16-2015,2
 01-24-2016,41
 09-09-2015,8
 02-01-2016,14
 02-06-2016,3
 08-23-2015,2
 01-10-2016,7
 11-07-2015,2
 03-24-2016,5
 02-09-2016,1
 08-12-2015,18
 12-11-2015,4
 02-17-2016,1
 08-29-2015,2
 03-13-2016,4
 09-03-2015,12
 02-28-2016,1
 03-10-2016,4
 08-15-2015,19
 03-16-2016,4
 12-03-2015,6
 03-21-2016,4
 11-20-2015,10
 03-05-2016,4
 03-19-2016,4
 02-08-2016,1
 03-22-2016,4
 02-11-2016,1
 12-28-2015,4
 11-09-2015,2
 01-27-2016,22
 03-14-2016,4
 02-03-2016,6
 10-14-2015,2
 08-16-2015,4
 03-06-2016,4
 12-05-2015,2
 02-07-2016,3
 03-18-2016,4
 09-05-2015,4
 02-26-2016,1
 08-10-2015,8
 08-14-2015,2
 03-12-2016,4
 08-11-2015,18
 03-26-2016,2
 03-15-2016,4
 08-28-2015,2
 11-08-2015,2
 03-23-2016,4
 03-01-2016,5
 03-04-2016,15
 03-20-2016,4
 08-30-2015,10
 08-22-2015,2
 03-09-2016,4
 02-27-2016,5
 12-18-2015,4
 10-18-2015,16
 02-05-2016,1
 02-02-2016,13
 02-10-2016,3
