ReviewDate,NumberOfReviews
 03-08-2016,6
 10-20-2015,2
 08-21-2015,2
 03-02-2016,2
 08-04-2015,24
 12-17-2015,10
 08-27-2015,4
 12-20-2015,22
 01-16-2016,23
 09-01-2015,2
 12-12-2015,2
 01-11-2016,2
 02-14-2016,4
 03-17-2016,4
 08-05-2015,16
 09-16-2015,2
 09-10-2015,2
 03-11-2016,3
 09-02-2015,20
 03-07-2016,4
 12-21-2015,22
 09-08-2015,2
 01-12-2016,30
 12-16-2015,2
 02-15-2016,4
 01-18-2016,8
 11-02-2015,2
 12-19-2015,10
 02-04-2016,1
 10-16-2015,2
 02-01-2016,2
 10-27-2015,2
 02-06-2016,2
 01-10-2016,9
 01-13-2016,28
 08-12-2015,2
 11-04-2015,2
 08-29-2015,6
 03-13-2016,4
 03-10-2016,4
 03-16-2016,4
 08-07-2015,14
 03-05-2016,4
 03-19-2016,4
 03-22-2016,1
 01-14-2016,12
 11-09-2015,6
 03-14-2016,4
 10-14-2015,4
 02-03-2016,2
 03-06-2016,4
 08-08-2015,22
 02-20-2016,1
 03-18-2016,4
 02-07-2016,3
 08-10-2015,4
 08-14-2015,2
 12-13-2015,2
 03-12-2016,4
 03-15-2016,5
 08-25-2015,2
 02-29-2016,1
 08-09-2015,10
 03-04-2016,12
 03-01-2016,2
 08-03-2015,14
 03-20-2016,2
 08-30-2015,4
 03-09-2016,4
 08-06-2015,20
 01-09-2016,23
 02-27-2016,1
 01-06-2016,20
 12-15-2015,4
 12-18-2015,4
 02-16-2016,4
 09-23-2015,2
 02-02-2016,2
