ReviewDate,NumberOfReviews
 06-27-2014,7
 04-05-2014,1
 07-10-2014,11
 09-15-2014,1
 06-13-2014,1
 11-01-2014,8
 05-02-2014,1
 07-24-2015,1
 07-24-2014,3
 07-08-2014,9
 05-29-2014,2
 06-28-2014,6
 06-14-2014,8
 07-25-2014,5
 05-03-2014,1
 06-30-2014,3
 06-09-2014,3
 09-28-2015,1
 02-12-2014,1
 10-02-2015,1
 04-23-2015,1
 01-15-2014,1
 07-06-2014,12
 02-01-2014,1
 10-16-2015,1
 02-01-2015,1
 07-11-2014,6
 01-29-2014,1
 06-29-2014,6
 06-26-2014,5
 09-17-2014,2
 06-15-2014,2
 08-20-2014,1
 01-21-2014,1
 02-09-2014,2
 08-20-2015,1
 11-15-2015,1
 03-10-2014,1
 02-28-2014,1
 06-01-2015,1
 03-05-2014,1
 06-24-2014,7
 01-22-2014,2
 07-13-2014,5
 07-19-2014,9
 06-02-2014,1
 06-17-2014,5
 11-02-2014,17
 05-31-2014,1
 11-08-2014,12
 06-11-2014,6
 03-01-2014,2
 02-21-2014,1
 11-11-2014,2
 07-23-2014,6
 07-04-2014,7
 10-31-2014,37
 07-01-2014,2
 07-07-2014,4
 04-30-2014,1
 05-07-2014,1
 11-06-2014,18
 06-21-2014,8
 07-16-2014,6
 08-13-2014,1
 07-02-2014,9
 10-25-2015,1
 06-22-2014,9
 11-10-2014,9
 11-05-2014,2
 02-23-2014,2
 03-29-2014,1
 10-08-2014,1
 07-17-2014,4
 10-30-2013,3
 07-14-2014,8
 10-13-2014,1
 09-11-2014,1
 10-13-2015,3
 02-06-2014,2
 07-03-2014,3
 11-07-2014,5
 06-18-2014,6
 01-13-2014,2
 08-12-2014,2
 11-04-2014,12
 06-23-2014,3
 06-07-2014,2
 06-20-2014,6
 06-04-2014,2
 05-19-2014,1
 06-10-2014,4
 07-21-2014,3
 01-30-2014,1
 01-30-2015,1
 11-12-2014,8
 11-03-2014,8
 10-01-2015,1
 11-12-2015,1
 06-16-2014,1
 11-03-2013,1
 11-09-2014,1
 07-05-2014,9
 10-14-2015,2
 04-17-2015,1
 07-22-2014,3
 03-31-2015,1
 05-30-2014,3
 07-09-2014,6
 01-23-2014,1
 06-25-2014,7
 07-28-2014,1
 05-14-2015,1
 02-26-2014,1
 06-03-2014,1
 03-09-2014,2
 03-06-2014,3
 12-18-2014,3
 09-20-2014,1
 07-18-2014,4
 10-01-2014,2
 01-14-2014,1
 06-19-2014,3
 02-13-2014,1
 10-04-2015,1
 04-27-2015,1
 07-15-2014,6
 07-12-2014,10
 10-07-2015,1
