ReviewDate,NumberOfReviews
 12-09-2014,2
 11-14-2014,12
 02-14-2015,4
 01-16-2015,2
 11-01-2014,12
 11-28-2014,4
 11-28-2015,2
 12-08-2014,6
 01-18-2015,2
 10-02-2015,2
 09-14-2015,2
 12-27-2014,4
 12-30-2014,4
 09-30-2015,2
 01-29-2015,2
 02-01-2015,2
 12-11-2014,2
 01-02-2015,2
 11-15-2014,6
 11-26-2014,4
 11-26-2015,2
 01-22-2016,2
 06-24-2015,2
 02-08-2015,2
 01-22-2015,2
 12-14-2014,2
 10-06-2015,2
 02-11-2015,2
 11-17-2014,8
 11-21-2014,2
 10-28-2014,18
 11-02-2014,14
 12-10-2014,4
 11-08-2014,12
 11-24-2014,4
 11-27-2014,6
 12-04-2014,4
 11-30-2015,4
 11-30-2014,10
 01-06-2015,4
 11-11-2014,8
 12-07-2014,2
 12-29-2015,2
 10-31-2014,10
 10-18-2015,2
 01-28-2015,2
 12-29-2014,2
 02-02-2015,2
 10-26-2014,6
 11-23-2014,8
 01-25-2015,2
 12-03-2014,2
 03-02-2016,1
 12-17-2014,4
 11-06-2014,28
 03-03-2015,2
 10-25-2014,8
 11-05-2014,32
 11-10-2014,12
 01-12-2015,4
 12-16-2014,4
 11-10-2015,2
 10-30-2014,12
 10-27-2014,10
 10-24-2014,18
 10-27-2015,2
 02-06-2015,2
 01-24-2015,4
 09-25-2015,2
 11-07-2014,28
 01-10-2015,2
 02-17-2015,2
 11-04-2014,30
 11-18-2014,12
 12-31-2014,2
 10-29-2014,44
 12-06-2014,4
 11-03-2014,4
 11-12-2014,2
 01-14-2015,2
 01-05-2015,2
 11-09-2014,34
 11-09-2015,2
 02-03-2015,2
 11-25-2014,4
 12-05-2014,4
 10-10-2015,2
 01-23-2015,2
 09-13-2015,4
 01-01-2015,2
 11-19-2014,12
 12-02-2014,2
 11-16-2014,4
 11-22-2014,12
 03-09-2015,2
 12-15-2014,2
 09-23-2015,2
 01-17-2015,2
 02-10-2015,2
 09-29-2015,2
 10-23-2015,2
 10-07-2015,2
