ReviewDate,NumberOfReviews
 09-07-2015,12
 11-23-2015,33
 09-04-2015,4
 03-30-2016,1
 12-06-2015,1
 09-15-2015,4
 08-27-2015,1
 09-01-2015,1
 09-16-2015,2
 09-10-2015,5
 09-27-2015,1
 11-24-2015,1
 09-08-2015,8
 09-05-2015,4
 09-13-2015,2
 09-21-2015,1
 09-28-2015,1
 03-12-2016,1
 09-22-2015,1
 09-14-2015,3
 08-25-2015,3
 09-11-2015,3
 11-22-2015,19
 09-09-2015,7
 08-30-2015,3
 08-22-2015,1
 09-25-2015,2
 09-17-2015,1
 08-23-2015,1
 08-26-2015,3
 08-29-2015,2
 09-03-2015,4
 08-15-2015,41
 09-26-2015,2
 02-10-2016,1
