ReviewDate,NumberOfReviews
 12-09-2015,4
 10-03-2015,2
 08-19-2015,2
 12-12-2015,3
 03-25-2016,1
 09-16-2015,3
 03-11-2016,2
 09-02-2015,1
 03-07-2016,2
 10-21-2015,1
 11-28-2015,3
 12-08-2015,18
 01-20-2016,1
 09-28-2015,1
 02-15-2016,3
 01-18-2016,2
 10-02-2015,1
 09-14-2015,1
 07-09-2015,1
 12-30-2015,1
 01-29-2016,1
 10-16-2015,2
 10-19-2015,1
 02-01-2016,1
 07-11-2015,1
 09-17-2015,1
 08-23-2015,2
 03-24-2016,1
 12-11-2015,3
 08-20-2015,1
 12-14-2015,1
 08-18-2015,1
 02-28-2016,1
 01-02-2016,1
 11-29-2015,2
 08-07-2015,2
 11-20-2015,1
 12-23-2015,1
 02-08-2016,1
 09-12-2015,1
 07-19-2015,1
 11-17-2015,1
 07-30-2015,1
 03-14-2016,1
 08-16-2015,1
 10-28-2015,1
 09-21-2015,1
 12-13-2015,1
 12-10-2015,7
 08-09-2015,1
 03-04-2016,1
 03-01-2016,2
 08-03-2015,2
 11-27-2015,2
 08-22-2015,1
 12-04-2015,2
 08-06-2015,2
 01-09-2016,2
 12-07-2015,17
 02-21-2016,4
 07-29-2015,1
 12-29-2015,1
 12-26-2015,2
 10-18-2015,1
 09-18-2015,2
 01-28-2016,2
 02-02-2016,1
 10-26-2015,1
 11-23-2015,1
 10-12-2015,2
 07-16-2015,1
 12-20-2015,3
 03-17-2016,1
 07-02-2015,1
 03-03-2016,1
 10-25-2015,1
 08-13-2015,2
 09-08-2015,1
 02-23-2016,1
 12-21-2015,2
 01-12-2016,1
 11-05-2015,1
 11-10-2015,1
 12-16-2015,3
 10-30-2015,1
 09-22-2015,1
 12-19-2015,1
 09-06-2015,2
 10-24-2015,2
 09-25-2015,1
 02-06-2016,1
 01-10-2016,3
 01-13-2016,1
 11-07-2015,1
 02-17-2016,1
 12-03-2015,1
 12-31-2015,1
 09-04-2015,2
 07-27-2015,2
 03-19-2016,2
 10-01-2015,1
 11-03-2015,2
 08-01-2015,1
 12-28-2015,3
 11-25-2015,1
 01-27-2016,3
 10-14-2015,2
 08-08-2015,2
 09-19-2015,2
 02-20-2016,1
 01-23-2016,3
 12-24-2015,3
 11-13-2015,1
 02-26-2016,1
 09-13-2015,1
 07-28-2015,1
 01-01-2016,1
 08-14-2015,1
 03-12-2016,2
 08-11-2015,1
 02-29-2016,1
 11-16-2015,1
 12-02-2015,1
 09-20-2015,1
 12-15-2015,4
 07-18-2015,1
 12-18-2015,2
 09-23-2015,1
 07-31-2015,1
 09-29-2015,1
 10-23-2015,1
