ReviewDate,NumberOfReviews
 01-25-2015,1
 12-03-2014,1
 04-13-2015,1
 06-19-2015,1
 12-17-2014,1
 11-01-2014,1
 09-10-2014,1
 11-10-2014,1
 05-11-2015,1
 09-28-2015,2
 03-29-2015,2
 10-08-2015,1
 10-30-2014,1
 12-27-2014,1
 02-04-2015,1
 09-11-2014,1
 10-27-2014,11
 02-01-2015,1
 09-30-2015,1
 01-29-2015,1
 09-09-2014,1
 09-25-2015,2
 12-11-2014,1
 08-20-2015,1
 06-04-2015,2
 03-21-2015,1
 11-26-2015,2
 03-30-2015,5
 07-27-2015,1
 12-06-2015,1
 03-19-2015,1
 10-29-2014,7
 01-22-2015,1
 10-06-2015,1
 02-11-2015,1
 09-12-2014,1
 11-09-2015,1
 03-31-2015,12
 09-05-2015,1
 10-28-2014,4
 11-02-2014,2
 09-13-2015,1
 09-21-2015,1
 03-26-2015,1
 08-17-2015,1
 03-15-2015,1
 08-22-2015,1
 09-23-2015,1
 09-18-2015,1
 07-23-2015,1
 09-18-2014,1
 01-28-2015,1
