ReviewDate,NumberOfReviews
 12-09-2014,2
 03-08-2015,4
 08-21-2015,1
 01-16-2015,1
 01-03-2015,4
 12-12-2014,7
 12-25-2014,3
 03-25-2015,3
 11-28-2014,1
 03-11-2015,2
 03-07-2015,1
 04-06-2015,2
 01-20-2015,2
 02-12-2015,2
 10-05-2015,1
 01-18-2015,2
 02-15-2015,1
 01-15-2015,1
 12-27-2014,2
 12-30-2014,3
 02-01-2015,2
 04-04-2015,1
 09-17-2015,1
 01-21-2015,1
 03-24-2015,1
 02-09-2015,1
 12-11-2014,19
 03-27-2015,1
 08-20-2015,1
 02-28-2015,2
 03-10-2015,2
 01-02-2015,3
 11-29-2014,1
 06-01-2015,1
 03-13-2015,4
 03-30-2015,1
 04-10-2015,2
 12-23-2014,10
 01-22-2015,3
 02-08-2015,3
 12-14-2014,19
 10-06-2015,1
 02-11-2015,3
 01-19-2015,2
 12-01-2014,1
 04-07-2015,2
 01-31-2015,1
 03-14-2015,1
 09-27-2015,1
 04-03-2015,2
 12-10-2014,28
 12-13-2014,10
 08-25-2015,1
 11-08-2014,1
 03-23-2015,2
 11-24-2014,2
 03-01-2015,4
 03-04-2015,3
 12-04-2014,3
 11-30-2015,1
 11-30-2014,1
 03-17-2015,1
 01-09-2015,2
 02-24-2015,3
 02-21-2015,1
 12-07-2014,2
 12-26-2014,8
 07-23-2015,1
 01-28-2015,2
 12-29-2014,1
 02-02-2015,1
 09-07-2015,1
 03-02-2015,2
 01-25-2015,1
 04-13-2015,1
 12-17-2014,11
 02-19-2015,2
 12-20-2014,13
 01-08-2015,1
 09-10-2015,1
 03-03-2015,2
 04-14-2015,3
 11-24-2015,1
 01-07-2015,4
 12-16-2014,20
 12-21-2014,15
 02-18-2015,2
 02-23-2015,2
 12-16-2015,1
 03-29-2015,1
 12-19-2014,15
 02-04-2015,1
 01-26-2015,3
 04-09-2015,1
 02-06-2015,2
 01-24-2015,2
 12-22-2014,7
 01-10-2015,4
 01-13-2015,1
 04-01-2015,1
 02-17-2015,2
 03-16-2015,2
 11-18-2014,1
 03-21-2015,1
 03-05-2015,1
 12-31-2014,5
 04-02-2015,2
 03-19-2015,2
 12-06-2014,1
 01-30-2015,4
 01-14-2015,1
 02-25-2015,2
 01-05-2015,5
 02-16-2015,1
 03-22-2015,1
 11-09-2014,3
 12-28-2014,4
 02-03-2015,2
 04-11-2015,2
 01-27-2015,4
 10-14-2015,1
 11-25-2014,1
 01-23-2015,3
 12-05-2014,2
 03-31-2015,1
 12-24-2014,7
 01-04-2015,1
 03-12-2015,1
 12-02-2014,1
 03-15-2015,4
 03-06-2015,1
 12-18-2014,13
 12-15-2014,10
 10-04-2015,1
 01-17-2015,1
 04-08-2015,2
 10-07-2015,1
