ReviewDate,NumberOfReviews
 04-13-2015,7
 07-10-2015,3
 04-05-2015,1
 05-16-2015,1
 02-22-2016,1
 09-01-2015,1
 03-25-2015,12
 07-24-2015,2
 06-05-2015,1
 05-02-2015,4
 07-08-2015,5
 09-02-2015,7
 04-14-2015,2
 07-25-2015,2
 04-06-2015,5
 09-24-2015,1
 05-03-2015,3
 06-30-2015,1
 06-09-2015,5
 04-20-2015,1
 07-17-2015,4
 07-14-2015,4
 07-06-2015,9
 07-09-2015,6
 04-15-2015,7
 04-12-2015,4
 04-09-2015,7
 09-30-2015,1
 07-11-2015,6
 04-04-2015,1
 03-24-2015,6
 12-11-2015,1
 03-27-2015,6
 06-07-2015,4
 12-14-2015,1
 05-08-2015,2
 09-03-2015,3
 08-31-2015,8
 06-04-2015,4
 03-21-2015,1
 07-21-2015,1
 04-02-2015,1
 06-10-2015,4
 09-04-2015,8
 03-30-2015,1
 07-27-2015,1
 03-19-2015,9
 04-10-2015,6
 07-13-2015,2
 05-05-2015,5
 07-19-2015,2
 06-08-2015,4
 04-07-2015,15
 04-11-2015,3
 02-03-2016,1
 05-30-2015,1
 03-18-2015,12
 11-21-2015,1
 02-07-2016,1
 09-05-2015,1
 05-06-2015,2
 03-26-2015,9
 06-06-2015,8
 05-09-2015,2
 03-20-2015,7
 08-28-2015,1
 03-23-2015,1
 06-03-2015,1
 06-11-2015,1
 05-15-2015,2
 07-12-2015,4
 05-07-2015,4
 07-18-2015,3
 03-28-2015,2
 07-26-2015,2
 05-04-2015,2
 07-07-2015,5
 09-18-2015,1
 07-23-2015,4
 07-20-2015,3
 04-08-2015,11
 07-15-2015,4
 04-16-2015,3
 10-23-2015,1
