ReviewDate,NumberOfReviews
 04-05-2015,2
 04-30-2015,6
 06-13-2011,2
 03-25-2014,2
 08-27-2012,2
 09-10-2011,2
 06-30-2011,2
 07-08-2015,2
 04-22-2015,2
 04-18-2012,2
 10-25-2014,2
 04-14-2015,2
 07-25-2015,2
 05-11-2015,2
 06-09-2015,2
 12-24-2010,2
 02-15-2015,2
 07-09-2015,2
 07-03-2012,2
 06-12-2015,2
 06-18-2015,2
 08-29-2015,2
 01-02-2015,2
 08-18-2014,2
 03-05-2012,2
 08-31-2014,2
 02-08-2011,2
 06-24-2015,2
 12-06-2015,2
 04-10-2015,2
 06-08-2015,2
 06-16-2015,2
 03-22-2015,2
 04-25-2015,20
 03-04-2013,2
 10-30-2010,2
 05-06-2015,2
 08-28-2014,2
 11-16-2010,2
 11-24-2013,2
 11-16-2015,2
 03-04-2015,2
 03-09-2012,2
 05-15-2015,2
 07-12-2015,2
 07-26-2012,2
 05-01-2015,2
 11-11-2013,2
 03-28-2014,2
 10-01-2013,2
 04-24-2015,20
 09-18-2012,2
 02-02-2015,2
