ReviewDate,NumberOfReviews
 04-19-2015,2
 10-20-2015,5
 03-08-2015,14
 09-15-2015,2
 09-01-2015,4
 12-25-2014,8
 05-02-2015,10
 10-17-2015,2
 12-08-2015,4
 06-30-2015,4
 01-20-2015,8
 04-20-2015,14
 10-05-2015,4
 02-12-2015,6
 01-15-2015,14
 12-27-2015,8
 12-27-2014,2
 01-29-2015,4
 08-23-2015,2
 02-09-2016,1
 02-09-2015,8
 12-11-2014,2
 06-15-2015,2
 02-28-2015,2
 09-03-2015,10
 02-28-2016,1
 06-01-2015,51
 03-13-2015,2
 12-23-2015,2
 12-23-2014,10
 01-22-2015,4
 01-19-2015,14
 01-19-2016,4
 12-01-2014,18
 08-16-2015,2
 04-03-2015,2
 11-21-2015,2
 04-29-2015,2
 01-15-2016,8
 06-17-2015,4
 12-13-2014,4
 05-31-2015,2
 05-09-2015,2
 03-01-2015,8
 03-01-2016,6
 03-04-2015,2
 12-04-2014,2
 12-04-2015,6
 02-21-2015,6
 02-24-2015,2
 02-21-2016,1
 05-12-2015,4
 02-02-2015,14
 10-26-2015,4
 11-23-2015,14
 01-25-2016,14
 02-05-2015,8
 02-19-2016,1
 02-19-2015,4
 01-11-2015,12
 01-08-2015,2
 09-10-2015,2
 01-26-2016,31
 09-08-2015,14
 01-12-2015,16
 02-23-2015,6
 02-18-2015,4
 01-07-2016,1
 12-16-2014,2
 01-12-2016,2
 10-30-2015,4
 02-04-2015,6
 09-11-2015,2
 01-26-2015,2
 04-26-2015,2
 02-04-2016,2
 01-10-2015,10
 04-01-2015,2
 08-29-2015,4
 11-04-2015,10
 08-15-2015,2
 06-20-2015,10
 03-16-2015,2
 03-05-2015,6
 03-05-2016,3
 12-06-2015,6
 01-30-2015,4
 11-03-2015,2
 06-16-2015,2
 02-03-2015,10
 01-27-2016,8
 01-27-2015,6
 12-05-2015,4
 12-24-2014,12
 05-14-2015,8
 06-06-2015,2
 01-01-2015,2
 02-29-2016,4
 05-29-2015,2
 03-06-2015,28
 09-20-2015,2
 12-15-2014,16
 05-04-2015,2
 01-17-2015,6
 04-21-2015,22
 09-26-2015,2
 10-07-2015,2
 01-16-2015,12
 01-16-2016,9
 12-12-2014,2
 03-07-2016,1
 10-21-2015,2
 07-25-2015,2
 05-03-2015,76
 06-14-2015,2
 01-18-2015,6
 09-28-2015,2
 01-18-2016,2
 10-02-2015,2
 02-01-2015,8
 06-12-2015,2
 01-21-2015,12
 03-10-2015,2
 11-15-2015,2
 01-02-2015,2
 03-10-2016,1
 11-29-2014,18
 11-29-2015,2
 11-20-2015,4
 02-08-2015,8
 06-02-2015,35
 09-12-2015,2
 12-14-2014,18
 10-06-2015,6
 02-11-2015,6
 01-31-2015,4
 10-28-2015,3
 03-20-2015,2
 08-09-2015,6
 08-03-2015,4
 11-30-2015,6
 08-22-2015,2
 11-30-2014,8
 01-09-2015,22
 01-09-2016,23
 01-06-2015,2
 02-27-2016,6
 12-07-2015,4
 07-01-2015,2
 12-26-2014,10
 07-04-2015,2
 09-18-2015,2
 10-18-2015,2
 04-16-2015,4
 01-28-2015,4
 03-02-2015,2
 12-03-2014,6
 04-13-2015,4
 03-02-2016,1
 06-19-2015,16
 07-16-2015,2
 12-17-2014,26
 08-27-2015,4
 12-20-2014,6
 06-21-2015,4
 05-25-2015,43
 03-03-2015,2
 03-03-2016,5
 04-14-2015,32
 11-24-2015,2
 12-21-2015,2
 09-24-2015,4
 12-21-2014,10
 11-10-2015,2
 12-19-2014,10
 07-14-2015,2
 10-13-2015,2
 01-24-2016,2
 09-09-2015,2
 10-24-2015,2
 02-06-2015,8
 01-24-2015,8
 08-26-2015,8
 12-22-2014,14
 01-13-2016,7
 01-13-2015,10
 06-18-2015,4
 02-17-2015,10
 06-23-2015,12
 08-31-2015,2
 12-03-2015,6
 05-27-2015,2
 03-21-2015,2
 12-31-2014,6
 12-31-2015,42
 01-14-2015,8
 02-16-2015,4
 02-25-2015,6
 01-05-2015,2
 02-25-2016,5
 03-22-2015,8
 10-14-2015,4
 09-19-2015,2
 01-23-2015,10
 02-07-2015,4
 02-20-2015,4
 01-23-2016,2
 02-26-2015,8
 02-26-2016,1
 09-13-2015,4
 11-16-2015,4
 12-02-2014,16
 12-02-2015,2
 03-09-2016,1
 03-09-2015,4
 12-18-2014,2
 02-10-2015,12
