ReviewDate,NumberOfReviews
 11-20-2015,2
 03-08-2016,5
 03-05-2016,4
 12-09-2015,4
 10-20-2015,2
 12-06-2015,10
 03-02-2016,2
 02-08-2016,1
 12-28-2015,6
 03-14-2016,4
 03-06-2016,4
 03-11-2016,4
 03-07-2016,4
 10-21-2015,2
 10-17-2015,2
 12-08-2015,6
 12-05-2015,16
 12-24-2015,2
 01-20-2016,2
 03-12-2016,4
 03-15-2016,1
 12-27-2015,6
 02-29-2016,1
 03-04-2016,13
 03-01-2016,2
 10-16-2015,2
 10-19-2015,2
 10-24-2015,2
 11-22-2015,2
 03-09-2016,4
 12-04-2015,12
 12-25-2015,2
 12-07-2015,22
 03-13-2016,4
 12-26-2015,2
 03-10-2016,4
 03-16-2016,1
 12-03-2015,46
 10-23-2015,2
