ReviewDate,NumberOfReviews
 07-10-2014,2
 09-15-2014,2
 05-16-2015,2
 09-15-2015,2
 01-03-2016,2
 02-14-2015,2
 03-25-2015,4
 09-01-2014,2
 06-13-2015,2
 07-24-2014,2
 05-02-2015,2
 11-28-2014,2
 11-28-2015,2
 12-08-2014,2
 11-02-2015,6
 12-27-2015,2
 02-12-2016,1
 09-30-2014,2
 01-29-2016,2
 09-30-2015,2
 01-29-2015,2
 10-19-2014,2
 09-17-2015,2
 08-23-2015,2
 08-23-2014,2
 02-09-2016,1
 12-11-2014,2
 03-27-2015,2
 02-28-2015,2
 03-13-2016,1
 01-22-2015,2
 12-23-2014,2
 01-19-2015,4
 07-19-2014,2
 04-07-2015,2
 08-16-2014,4
 11-21-2015,2
 11-21-2014,2
 09-05-2015,2
 09-05-2014,2
 12-13-2015,2
 12-13-2014,4
 05-09-2015,10
 08-25-2015,2
 11-24-2014,6
 03-01-2015,2
 08-06-2014,2
 06-11-2015,4
 03-04-2015,2
 08-06-2015,4
 02-21-2015,2
 02-21-2016,1
 06-08-2014,2
 05-12-2015,6
 07-26-2014,2
 07-07-2014,4
 12-29-2014,2
 02-02-2015,6
 09-07-2015,2
 10-26-2014,2
 11-23-2015,2
 11-23-2014,34
 01-25-2015,4
 02-05-2015,2
 05-24-2015,2
 04-30-2015,2
 01-11-2015,2
 01-08-2015,4
 06-05-2015,4
 07-02-2015,2
 09-10-2015,2
 07-02-2014,2
 10-25-2014,4
 08-13-2014,2
 09-08-2015,2
 02-18-2015,2
 02-23-2015,2
 01-07-2016,2
 02-18-2016,1
 10-30-2015,2
 09-11-2015,2
 09-11-2014,8
 10-27-2014,2
 10-11-2015,2
 07-03-2015,2
 10-11-2014,2
 08-29-2014,4
 06-07-2015,2
 08-15-2014,4
 08-15-2015,6
 05-13-2015,14
 04-02-2015,2
 06-10-2014,2
 07-27-2014,2
 01-30-2016,8
 11-03-2014,2
 10-01-2015,2
 08-24-2014,2
 11-09-2015,2
 07-22-2014,2
 12-24-2014,2
 06-25-2014,4
 05-14-2015,10
 07-28-2014,22
 01-01-2015,4
 08-14-2014,4
 11-13-2014,8
 05-29-2015,2
 11-22-2014,2
 09-20-2014,4
 07-18-2015,2
 12-15-2015,4
 10-01-2014,2
 07-18-2014,2
 02-13-2015,2
 04-21-2015,4
 01-17-2015,2
 07-31-2014,16
 10-07-2015,2
 12-09-2014,2
 01-16-2015,2
 09-16-2014,10
 09-16-2015,4
 04-18-2015,2
 03-07-2016,1
 05-17-2015,2
 06-28-2014,2
 06-14-2015,4
 02-15-2015,4
 10-02-2015,2
 10-02-2014,2
 07-06-2015,2
 02-01-2015,2
 09-14-2014,4
 02-01-2016,2
 06-26-2014,2
 08-20-2014,4
 06-12-2015,6
 06-12-2014,2
 01-21-2015,2
 11-29-2014,6
 06-24-2014,4
 11-20-2014,4
 09-12-2015,2
 10-06-2014,2
 11-17-2015,2
 01-31-2016,2
 05-22-2015,2
 07-30-2014,16
 09-21-2014,2
 09-21-2015,2
 03-26-2015,2
 03-20-2015,2
 08-09-2014,2
 08-03-2014,2
 08-03-2015,2
 05-15-2015,18
 08-22-2014,2
 11-30-2014,6
 07-29-2014,18
 01-09-2015,2
 01-06-2015,2
 07-23-2014,2
 12-07-2014,2
 12-26-2014,2
 07-04-2014,2
 10-18-2014,2
 10-31-2015,2
 10-31-2014,4
 07-01-2014,2
 07-23-2015,2
 09-18-2014,2
 10-12-2014,2
 04-16-2015,2
 03-02-2016,1
 08-27-2014,2
 07-16-2015,4
 12-17-2014,2
 12-20-2014,2
 05-10-2015,14
 11-06-2014,2
 06-21-2015,2
 05-25-2015,2
 04-14-2015,2
 10-09-2014,2
 09-24-2014,2
 09-24-2015,2
 05-11-2015,18
 06-22-2014,4
 11-10-2014,2
 11-05-2014,4
 11-10-2015,2
 12-21-2014,4
 03-29-2015,2
 09-22-2015,4
 12-19-2015,2
 01-24-2015,2
 08-12-2015,2
 06-23-2014,2
 05-08-2015,14
 12-03-2015,2
 06-04-2015,2
 03-21-2015,4
 09-04-2015,2
 09-04-2014,2
 10-29-2014,6
 01-05-2015,6
 02-16-2015,2
 08-01-2014,2
 08-02-2014,20
 10-14-2014,2
 08-08-2014,2
 09-19-2014,8
 08-08-2015,2
 09-19-2015,2
 01-23-2015,2
 05-30-2015,4
 03-18-2016,1
 01-04-2015,2
 09-13-2014,4
 06-03-2015,4
 05-07-2015,117
 05-01-2015,2
 09-23-2014,2
 03-28-2015,2
 02-16-2016,1
 10-04-2015,2
 07-15-2014,2
