ReviewDate,NumberOfReviews
 08-21-2015,2
 07-10-2015,2
 05-16-2015,2
 01-03-2016,2
 11-14-2015,2
 03-11-2016,1
 04-18-2015,2
 03-07-2016,1
 10-17-2015,2
 12-08-2015,2
 12-08-2014,4
 06-28-2015,2
 09-28-2015,2
 02-15-2016,3
 09-14-2015,2
 02-12-2016,1
 01-29-2016,2
 01-29-2015,2
 02-09-2016,1
 03-24-2015,2
 12-14-2015,3
 03-13-2016,1
 03-10-2016,2
 01-02-2016,2
 11-29-2015,2
 08-07-2015,2
 11-26-2015,2
 03-13-2015,2
 11-20-2015,2
 12-23-2015,2
 02-11-2016,2
 01-31-2016,2
 04-25-2015,2
 11-21-2015,2
 06-17-2015,2
 12-13-2015,2
 12-10-2014,2
 11-08-2015,2
 03-01-2016,1
 11-27-2015,2
 12-04-2015,2
 01-09-2016,2
 11-11-2015,2
 12-07-2015,2
 02-21-2016,3
 07-29-2015,4
 12-07-2014,16
 11-23-2015,2
 01-25-2016,4
 12-17-2015,2
 01-08-2016,2
 02-22-2016,1
 02-22-2015,4
 01-11-2016,2
 04-28-2015,2
 04-14-2015,6
 10-09-2015,2
 01-26-2016,2
 09-08-2015,2
 02-23-2016,1
 09-24-2015,2
 01-07-2016,2
 12-16-2015,2
 07-14-2015,2
 04-26-2015,10
 01-26-2015,2
 10-24-2015,2
 10-27-2015,2
 12-22-2015,2
 01-10-2015,2
 11-07-2015,2
 02-17-2016,1
 11-04-2015,2
 03-16-2016,3
 12-03-2015,2
 11-18-2015,4
 03-21-2016,1
 10-29-2015,2
 03-19-2016,2
 03-22-2016,1
 01-14-2016,4
 02-03-2015,2
 04-17-2015,2
 07-05-2015,2
 03-31-2015,2
 01-23-2015,1
 02-20-2016,3
 02-07-2016,2
 02-26-2015,2
 01-04-2015,12
 12-24-2015,2
 11-13-2015,2
 08-02-2015,2
 01-01-2016,6
 08-17-2015,2
 01-04-2016,2
 03-12-2015,10
 03-15-2016,2
 02-29-2016,1
 11-22-2015,2
 03-09-2016,1
 03-09-2015,2
 12-15-2015,4
 12-18-2015,2
 02-16-2016,1
 09-23-2015,1
 02-13-2016,1
 04-08-2015,2
