ReviewDate,NumberOfReviews
 04-19-2015,3
 06-27-2015,1
 10-20-2014,1
 03-08-2015,5
 10-20-2015,1
 04-05-2014,2
 07-10-2015,1
 04-05-2015,1
 05-16-2015,2
 02-14-2015,2
 03-25-2014,4
 03-25-2015,1
 09-01-2014,1
 10-03-2014,2
 12-08-2015,1
 06-30-2015,1
 01-20-2015,1
 04-20-2015,2
 01-15-2015,2
 07-09-2015,1
 12-30-2014,1
 04-17-2014,2
 10-19-2014,2
 09-17-2015,1
 04-20-2014,1
 06-15-2014,2
 02-09-2015,2
 12-11-2014,1
 03-27-2015,1
 09-03-2014,1
 06-01-2014,3
 06-01-2015,1
 03-13-2015,1
 03-30-2015,1
 04-10-2014,1
 04-10-2015,5
 05-21-2014,1
 01-22-2015,2
 12-23-2014,4
 03-27-2014,4
 05-21-2015,3
 01-19-2015,3
 03-30-2014,2
 04-07-2014,1
 05-18-2014,2
 05-28-2014,1
 08-16-2014,2
 04-03-2014,2
 04-29-2014,2
 04-29-2015,6
 05-06-2015,1
 06-17-2015,1
 09-05-2014,3
 05-09-2014,2
 03-23-2014,3
 12-13-2014,1
 05-09-2015,5
 08-28-2014,1
 03-23-2015,1
 11-24-2014,1
 06-11-2014,2
 08-06-2014,2
 05-18-2015,1
 02-24-2015,2
 02-21-2015,1
 05-12-2014,2
 05-12-2015,2
 07-07-2014,1
 07-20-2014,1
 10-15-2014,1
 02-02-2015,1
 10-26-2015,1
 10-26-2014,2
 11-23-2014,1
 02-05-2015,1
 04-30-2015,16
 09-07-2014,1
 02-22-2015,2
 01-08-2015,2
 06-05-2015,2
 07-02-2014,1
 10-25-2014,1
 01-12-2015,1
 02-23-2015,1
 02-18-2015,2
 09-25-2014,1
 07-17-2015,1
 10-08-2014,1
 07-17-2014,4
 04-26-2014,2
 10-30-2014,1
 02-04-2015,1
 01-26-2015,1
 04-12-2014,1
 04-12-2015,1
 10-27-2014,1
 04-09-2015,1
 07-03-2014,1
 10-11-2014,1
 04-28-2014,1
 01-10-2015,1
 04-01-2015,2
 04-01-2014,1
 06-07-2015,1
 06-07-2014,2
 06-20-2014,1
 06-20-2015,1
 03-16-2015,1
 05-19-2015,2
 05-13-2015,4
 03-05-2015,1
 04-02-2015,1
 05-13-2014,1
 07-21-2014,1
 07-27-2014,1
 12-06-2014,1
 04-02-2014,2
 11-03-2014,1
 06-16-2014,2
 11-09-2014,1
 02-03-2015,1
 04-11-2015,1
 04-11-2014,4
 04-17-2015,1
 07-22-2015,1
 07-22-2014,2
 05-14-2014,3
 06-25-2015,1
 06-25-2014,1
 05-14-2015,1
 07-28-2014,2
 01-01-2015,3
 06-06-2014,2
 05-23-2015,1
 05-23-2014,1
 09-20-2014,2
 05-04-2014,1
 07-18-2014,1
 07-31-2015,1
 04-21-2015,1
 04-27-2014,1
 01-17-2015,1
 04-21-2014,3
 04-27-2015,1
 07-31-2014,1
 10-07-2014,2
 01-16-2015,1
 12-12-2014,2
 11-01-2014,1
 02-27-2015,1
 10-21-2014,1
 09-02-2014,1
 04-18-2015,1
 04-18-2014,5
 05-29-2014,1
 05-17-2015,2
 04-06-2015,1
 06-28-2014,1
 06-14-2014,3
 06-28-2015,1
 07-25-2014,1
 05-03-2015,2
 05-03-2014,1
 06-09-2014,1
 01-18-2015,1
 02-15-2015,2
 09-28-2014,1
 04-23-2015,1
 04-23-2014,1
 07-06-2014,1
 04-06-2014,3
 06-26-2015,1
 10-16-2014,1
 07-11-2015,1
 04-04-2014,2
 06-12-2014,3
 01-21-2015,1
 03-10-2015,2
 01-02-2015,1
 11-15-2014,1
 02-08-2015,3
 06-02-2015,1
 05-05-2015,1
 02-11-2015,1
 11-17-2014,1
 06-02-2014,1
 05-22-2014,2
 07-30-2015,1
 01-31-2015,1
 03-14-2015,1
 07-30-2014,1
 08-10-2014,1
 08-10-2015,1
 03-26-2014,1
 03-20-2014,2
 03-20-2015,1
 08-09-2014,1
 08-03-2014,1
 05-15-2015,2
 08-22-2014,1
 11-11-2014,1
 07-01-2015,1
 10-18-2014,2
 12-26-2014,1
 07-01-2014,2
 09-18-2014,1
 04-16-2014,4
 01-28-2015,2
 05-10-2014,1
 04-13-2014,3
 03-02-2015,2
 07-16-2015,1
 12-20-2014,1
 05-07-2014,1
 05-10-2015,7
 06-21-2014,1
 07-16-2014,1
 06-22-2015,1
 03-03-2015,1
 05-25-2014,4
 04-14-2015,1
 04-14-2014,4
 10-09-2014,1
 09-24-2014,1
 05-11-2015,8
 06-22-2014,1
 05-11-2014,2
 03-29-2015,1
 03-29-2014,2
 12-19-2014,1
 07-14-2014,2
 04-15-2015,1
 04-15-2014,1
 02-06-2015,1
 01-24-2015,3
 11-07-2014,1
 08-26-2014,2
 06-18-2014,1
 02-17-2015,1
 05-08-2014,2
 05-27-2014,2
 03-21-2015,3
 12-31-2014,2
 03-19-2015,2
 03-19-2014,1
 10-29-2014,1
 02-16-2015,2
 03-22-2014,3
 08-01-2014,1
 08-01-2015,1
 03-22-2015,1
 12-28-2014,3
 07-05-2015,1
 09-19-2014,1
 03-31-2015,1
 05-30-2015,1
 02-20-2015,2
 03-31-2014,2
 03-18-2014,1
 02-26-2015,1
 01-04-2015,2
 09-13-2014,1
 05-20-2015,2
 06-03-2014,2
 11-16-2014,1
 03-09-2015,3
 05-01-2014,1
 05-01-2015,11
 03-28-2015,2
 03-28-2014,4
 04-24-2015,1
 04-24-2014,1
