ReviewDate,NumberOfReviews
 05-13-2016,6
 05-08-2016,6
 10-06-2015,4
 05-05-2016,5
 10-03-2015,5
 05-10-2016,6
 05-11-2016,6
 09-27-2015,14
 09-24-2015,14
 09-21-2015,13
 05-14-2016,2
 05-06-2016,6
 09-28-2015,15
 10-05-2015,5
 10-02-2015,1
 09-22-2015,16
 05-09-2016,5
 10-08-2015,2
 09-30-2015,13
 09-25-2015,13
 09-17-2015,2
 05-04-2016,4
 09-20-2015,2
 05-07-2016,6
 09-23-2015,15
 05-12-2016,5
 10-04-2015,4
 09-26-2015,12
 09-18-2015,1
 09-29-2015,14
 10-07-2015,3
