ReviewDate,NumberOfReviews
 12-09-2015,1
 03-08-2015,1
 05-16-2015,1
 01-16-2015,1
 01-03-2016,3
 11-01-2015,1
 12-12-2014,3
 12-12-2015,1
 08-05-2015,1
 03-11-2016,1
 11-28-2015,1
 05-17-2015,1
 06-14-2015,1
 05-03-2015,1
 01-20-2015,2
 06-09-2015,1
 02-15-2016,2
 09-28-2015,1
 01-18-2016,1
 12-27-2014,2
 01-29-2016,1
 10-16-2015,1
 02-01-2016,1
 04-04-2015,1
 07-11-2015,1
 02-09-2016,1
 03-24-2016,1
 02-09-2015,1
 12-11-2014,14
 01-21-2016,1
 08-20-2015,1
 11-29-2014,15
 11-29-2015,1
 08-07-2015,1
 01-22-2016,2
 03-30-2015,1
 01-22-2015,1
 02-08-2016,1
 12-14-2014,4
 05-05-2015,1
 10-06-2015,1
 06-08-2015,1
 01-19-2016,1
 12-01-2014,6
 04-07-2015,1
 05-22-2015,1
 05-28-2015,1
 03-14-2015,1
 04-03-2015,1
 01-15-2016,1
 06-17-2015,1
 08-10-2015,1
 12-10-2014,12
 03-26-2015,3
 12-13-2015,1
 12-13-2014,10
 05-09-2015,1
 08-28-2015,1
 03-23-2016,1
 08-09-2015,3
 03-01-2016,2
 11-27-2014,1
 11-27-2015,1
 03-20-2016,1
 11-30-2015,1
 11-30-2014,4
 01-09-2015,16
 01-06-2015,1
 11-11-2015,1
 07-04-2015,1
 09-18-2015,1
 02-02-2015,1
 01-28-2015,1
 10-26-2015,2
 09-07-2015,1
 11-23-2015,1
 01-25-2016,2
 12-03-2014,1
 12-17-2015,1
 01-11-2015,2
 12-17-2014,5
 01-08-2016,1
 08-27-2015,1
 02-22-2016,2
 12-20-2014,5
 01-08-2015,2
 01-11-2016,1
 06-21-2015,2
 09-10-2015,1
 11-24-2015,2
 09-08-2015,2
 08-13-2015,1
 01-07-2015,13
 01-12-2015,13
 12-21-2014,7
 12-16-2014,4
 12-16-2015,2
 12-19-2014,3
 10-13-2015,1
 02-04-2016,1
 09-09-2015,1
 02-06-2016,1
 09-25-2015,2
 01-10-2015,5
 12-22-2014,6
 01-13-2015,1
 06-18-2015,1
 02-17-2015,1
 03-16-2016,1
 12-03-2015,1
 03-05-2016,2
 06-16-2015,1
 08-01-2015,2
 03-22-2015,1
 12-28-2014,2
 11-09-2015,1
 01-27-2015,1
 02-03-2016,1
 11-25-2014,2
 04-17-2015,2
 08-08-2015,1
 02-20-2015,1
 01-23-2016,1
 03-18-2016,1
 05-14-2015,2
 08-14-2015,1
 01-01-2016,1
 05-20-2015,1
 11-16-2015,1
 12-02-2014,1
 03-06-2015,1
 12-18-2014,3
 12-15-2014,6
 12-18-2015,1
 02-16-2016,1
 09-23-2015,2
 01-17-2016,2
 07-31-2015,2
 10-04-2015,3
 02-13-2016,1
 09-26-2015,1
