ReviewDate,NumberOfReviews
 03-08-2016,4
 12-09-2015,2
 03-02-2016,2
 12-17-2015,4
 02-19-2016,1
 01-08-2016,4
 11-06-2015,2
 12-20-2015,4
 03-17-2016,4
 09-16-2015,2
 09-10-2015,2
 03-11-2016,4
 09-02-2015,10
 03-07-2016,4
 10-09-2015,2
 12-08-2015,2
 12-21-2015,2
 02-23-2016,2
 09-24-2015,29
 11-10-2015,2
 12-16-2015,2
 02-18-2016,1
 02-15-2016,2
 11-02-2015,2
 09-14-2015,6
 12-19-2015,2
 09-11-2015,4
 02-04-2016,2
 09-06-2015,12
 10-22-2015,2
 10-16-2015,2
 09-09-2015,2
 09-25-2015,6
 12-11-2015,2
 02-17-2016,1
 03-13-2016,4
 03-10-2016,4
 02-28-2016,1
 01-02-2016,2
 03-16-2016,4
 12-03-2015,6
 11-29-2015,2
 03-21-2016,4
 03-05-2016,5
 09-04-2015,24
 12-06-2015,8
 03-19-2016,4
 09-12-2015,2
 03-22-2016,3
 11-03-2015,2
 12-28-2015,2
 03-14-2016,4
 03-06-2016,4
 12-05-2015,6
 03-18-2016,4
 09-05-2015,40
 02-26-2016,1
 09-13-2015,2
 11-19-2015,2
 03-12-2016,4
 03-15-2016,4
 12-02-2015,2
 03-04-2016,16
 03-01-2016,2
 03-20-2016,4
 03-09-2016,5
 12-04-2015,4
 01-09-2016,22
 12-07-2015,6
 09-20-2015,2
 12-18-2015,4
 09-23-2015,2
