ReviewDate,NumberOfReviews
 10-20-2015,4
 09-15-2015,2
 10-03-2015,2
 11-28-2015,32
 10-17-2015,4
 10-21-2015,2
 05-03-2015,9
 06-30-2015,2
 02-12-2015,10
 04-20-2015,2
 02-15-2015,2
 10-02-2015,8
 09-30-2014,2
 10-22-2015,4
 10-16-2015,2
 04-04-2015,2
 11-15-2015,2
 11-29-2015,12
 03-30-2015,2
 06-24-2015,12
 11-20-2014,2
 07-13-2015,2
 11-17-2015,2
 07-30-2015,2
 04-07-2015,4
 12-01-2015,2
 04-03-2014,2
 09-21-2014,2
 04-03-2015,2
 11-21-2014,2
 05-06-2015,2
 10-28-2014,2
 03-23-2014,2
 11-27-2015,20
 05-15-2015,2
 03-20-2016,30
 11-30-2015,24
 12-04-2015,190
 02-21-2015,2
 11-11-2014,2
 07-26-2015,2
 12-29-2015,22
 10-18-2015,6
 09-18-2014,2
 02-02-2016,2
 10-15-2015,6
 01-28-2015,2
 11-23-2015,2
 10-12-2015,4
 11-23-2014,2
 12-17-2014,2
 12-20-2015,2
 06-05-2015,2
 04-28-2015,4
 03-17-2016,24
 03-03-2015,16
 09-24-2015,2
 11-10-2014,2
 05-11-2015,2
 02-23-2014,2
 03-29-2015,2
 07-17-2015,2
 10-08-2015,20
 09-22-2015,2
 07-14-2015,2
 02-04-2015,2
 10-13-2015,10
 04-12-2015,2
 10-24-2015,6
 09-25-2015,2
 01-24-2015,2
 12-22-2014,2
 06-18-2015,2
 02-17-2015,2
 11-04-2015,2
 06-23-2015,6
 12-03-2015,148
 05-19-2014,2
 11-18-2015,2
 03-21-2016,45
 11-18-2014,2
 07-21-2015,2
 04-02-2015,2
 12-06-2015,210
 12-06-2014,2
 03-19-2016,41
 10-01-2015,2
 12-28-2014,2
 04-11-2015,2
 10-14-2015,8
 01-27-2015,2
 12-05-2015,104
 03-18-2016,14
 07-28-2015,2
 08-14-2015,2
 01-01-2016,2
 03-12-2015,2
 03-15-2016,1
 12-02-2014,2
 12-02-2015,28
 11-16-2014,2
 03-09-2015,2
 05-04-2015,53
 09-23-2015,12
 09-29-2014,2
 10-04-2015,30
 09-26-2015,6
 09-29-2015,22
 10-23-2015,4
