ReviewDate,NumberOfReviews
 06-27-2015,2
 10-20-2013,4
 03-30-2015,12
 10-29-2014,2
 03-16-2013,2
 01-22-2015,2
 02-16-2014,2
 06-02-2015,2
 05-07-2014,2
 02-19-2014,2
 08-19-2014,2
 08-19-2013,2
 08-05-2015,2
 03-31-2015,15
 02-20-2016,1
 06-17-2014,2
 10-02-2013,2
 03-29-2015,2
 10-19-2013,22
 01-01-2014,2
 01-01-2013,2
 07-17-2014,2
 11-08-2015,2
 05-17-2013,4
 11-30-2013,2
 11-30-2012,2
 06-26-2013,2
 03-17-2013,2
 09-17-2014,2
 05-31-2013,2
 09-20-2014,2
 03-24-2016,1
 04-01-2015,2
 02-09-2014,2
 11-29-2012,2
 11-15-2014,2
 02-10-2015,2
 07-15-2014,2
 03-21-2013,2
