ReviewDate,NumberOfReviews
 06-27-2015,2
 08-21-2015,2
 07-10-2015,2
 05-16-2015,2
 08-04-2015,2
 11-14-2015,2
 01-16-2016,2
 09-01-2015,2
 07-24-2015,4
 07-08-2015,2
 08-05-2015,4
 03-11-2016,1
 06-28-2015,6
 06-30-2015,2
 06-09-2015,2
 09-28-2015,2
 01-18-2016,2
 07-06-2015,6
 06-26-2015,2
 10-22-2015,2
 10-19-2015,2
 06-29-2015,2
 08-23-2015,2
 06-15-2015,4
 03-13-2016,1
 02-28-2016,2
 11-29-2015,2
 06-01-2015,2
 11-20-2015,2
 07-19-2015,4
 06-08-2015,2
 11-17-2015,2
 07-30-2015,2
 05-28-2015,2
 08-16-2015,4
 09-05-2015,2
 09-21-2015,2
 05-31-2015,2
 05-09-2015,2
 08-28-2015,2
 11-27-2015,2
 05-15-2015,2
 08-22-2015,4
 08-06-2015,2
 11-11-2015,2
 07-29-2015,2
 07-26-2015,4
 07-07-2015,2
 10-18-2015,2
 09-18-2015,8
 02-05-2016,2
 07-23-2015,2
 07-20-2015,4
 10-15-2015,2
 10-12-2015,2
 05-24-2015,2
 03-02-2016,1
 07-16-2015,2
 02-19-2016,1
 05-10-2015,2
 05-25-2015,4
 06-22-2015,2
 08-13-2015,2
 09-24-2015,6
 11-10-2015,2
 11-05-2015,2
 07-17-2015,2
 09-22-2015,2
 09-06-2015,4
 09-09-2015,2
 10-24-2015,2
 07-03-2015,2
 10-27-2015,2
 11-07-2015,2
 11-04-2015,2
 06-23-2015,2
 05-08-2015,2
 08-31-2015,2
 08-15-2015,2
 06-04-2015,2
 07-21-2015,6
 05-13-2015,30
 12-06-2015,2
 08-24-2015,4
 01-30-2016,2
 03-19-2016,1
 11-12-2015,2
 11-03-2015,2
 06-16-2015,2
 12-28-2015,2
 11-09-2015,2
 10-14-2015,4
 02-03-2016,2
 03-06-2016,1
 07-05-2015,2
 07-22-2015,4
 12-05-2015,2
 02-07-2016,1
 06-25-2015,2
 11-13-2015,4
 05-14-2015,34
 08-02-2015,2
 07-28-2015,4
 06-06-2015,2
 08-17-2015,4
 05-29-2015,4
 05-23-2015,2
 07-12-2015,4
 05-07-2015,8
 07-18-2015,2
 02-16-2016,1
 09-26-2015,2
 07-15-2015,2
 10-23-2015,2
