ReviewDate,NumberOfReviews
 08-21-2015,1
 05-16-2015,1
 07-16-2015,2
 08-27-2015,1
 01-03-2015,1
 09-01-2015,1
 06-05-2015,2
 04-28-2015,2
 08-05-2015,1
 03-03-2015,1
 03-03-2016,1
 11-28-2015,11
 11-24-2015,1
 01-26-2016,1
 05-17-2015,1
 04-06-2015,1
 06-28-2015,2
 06-30-2015,1
 02-23-2015,1
 03-29-2015,1
 07-17-2015,1
 12-19-2014,16
 07-06-2015,70
 07-14-2015,2
 04-12-2015,2
 12-30-2015,2
 01-29-2016,1
 10-16-2015,1
 06-29-2015,2
 07-11-2015,1
 02-06-2015,1
 07-03-2015,3
 08-23-2015,1
 12-25-2015,1
 01-10-2015,1
 02-09-2016,1
 08-29-2015,1
 08-20-2015,1
 06-07-2015,2
 02-28-2015,1
 11-29-2015,5
 11-26-2015,2
 07-21-2015,1
 05-13-2015,1
 04-02-2015,1
 03-05-2016,1
 03-19-2015,1
 04-10-2015,2
 01-22-2015,1
 01-30-2016,1
 02-08-2015,1
 07-13-2015,1
 02-11-2015,1
 08-01-2015,2
 12-28-2014,1
 04-11-2015,1
 04-07-2015,1
 05-22-2015,1
 01-27-2015,1
 04-25-2015,2
 04-17-2015,1
 03-06-2016,1
 03-31-2015,1
 05-30-2015,1
 03-18-2016,1
 04-03-2016,1
 08-02-2015,2
 12-13-2015,2
 05-31-2015,1
 03-12-2015,1
 08-25-2015,1
 06-03-2015,1
 03-15-2015,1
 08-09-2015,1
 11-27-2015,2
 08-03-2015,1
 05-18-2015,1
 11-30-2015,9
 08-22-2015,1
 01-09-2015,1
 12-18-2014,9
 07-29-2015,3
 05-01-2015,1
 07-18-2015,2
 12-18-2015,1
 07-01-2015,1
 05-04-2015,1
 04-21-2015,1
